topic,rank,word,score
-1,1,blocks,0.8907256038959104
-1,2,block,0.6186705369066752
-1,3,perspective,0.5563678824153291
-1,4,measure,0.5476759502628505
-1,5,certain,0.5210444856298233
-1,6,perceive things,0.4974595589513523
-1,7,correct,0.47389198098346175
-1,8,colors,0.47389198098346175
-1,9,tall,0.47389198098346175
-1,10,right,0.47389198098346175
0,1,hypothesis,0.43384242445775734
0,2,taking,0.40582242804207086
0,3,population,0.3770409583462906
0,4,people read,0.3671646546823821
0,5,questions,0.36437168952442134
0,6,experiment identify,0.36437168952442134
0,7,question,0.35311320369674926
0,8,specific,0.3501914269039112
0,9,experiment understand,0.3501914269039112
0,10,investigate,0.33992841723099737
1,1,analyze,0.39732589467213003
1,2,3d graphs,0.39672118437873966
1,3,read,0.36279575137309245
1,4,looking,0.3622661679673996
1,5,people estimate,0.3548318881213484
1,6,graphs easier,0.3548318881213484
1,7,bar graphs,0.3534978190200469
1,8,online,0.33802036306579714
1,9,read graphs,0.3323135643879273
1,10,bars,0.33132049358264654
2,1,object,0.5928567839341919
2,2,shapes,0.5462185952833244
2,3,objects,0.5028114350377233
2,4,things,0.4840655370620754
2,5,3d models,0.4644750687538334
2,6,larger,0.452730015160342
2,7,percentage,0.452730015160342
2,8,heights,0.438018135285437
2,9,given,0.42732437162466524
2,10,depth perception,0.422032388852326
3,1,bar graphs,0.4749355752218883
3,2,bar graph,0.47008071934711065
3,3,bars,0.4622009365727654
3,4,values,0.39831616751459503
3,5,heights,0.37755982906171665
3,6,graphs think,0.3773818746735858
3,7,bar,0.3714217607718186
3,8,3d bar,0.36927187409912604
3,9,experiment students,0.3568636607797115
3,10,believe purpose,0.3568636607797115
4,1,images,0.6113831890094571
4,2,graphs 3d,0.49919228346291145
4,3,experiment different,0.48376806305768216
4,4,2d graphs,0.4698889845325677
4,5,data visualization,0.46453066153139283
4,6,replicate,0.4572734687271491
4,7,different ways,0.418955432147545
4,8,visualization,0.418955432147545
4,9,overall,0.4153460782128349
4,10,affect perception,0.4153460782128349
5,1,3d printed,0.5587415777323747
5,2,printed,0.5322136933762779
5,3,charts,0.5055397146613817
5,4,digital 3d,0.47633124006698446
5,5,2d digital,0.47334786542611884
5,6,3d digital,0.45872219502506645
5,7,3d charts,0.43210550573467504
5,8,bar heights,0.43210550573467504
5,9,aimed,0.42263498502927066
5,10,perceptual,0.418754156405855
6,1,experiment likely,0.6404784031671452
6,2,people perception,0.6349606008731913
6,3,context,0.6349606008731913
6,4,judge relative,0.6349606008731913
6,5,3d models,0.6054012313461566
6,6,perception size,0.6048787918128472
6,7,objects,0.5982675056463157
6,8,proportion,0.5583846023604537
6,9,relative,0.5396218539727844
6,10,believe purpose,0.5396218539727844
