document_index,document,topic,probability
0,To see how accurate the students can be with each of the graphs and if they do better at looking at the screen and guessing or in person.,topic_0,0.08470557044178
1,I think the purpose was to determine is we could imagine the depth online.,topic_0,2.1162661711676017e-308
2,The purpose of the experiment was to determine how different people read graphs.,topic_0,0.11334709311621402
3,I think the purpose of the experiment was to see how our eyes could judge certain sizes or percentages with our naked eye. It was to find statistics on how well we could make an educated guess on the size of the blocks.,topic_0,0.1264401283848801
4,The purpose of the experiment is to see if random individuals can estimate percentages in the same pattern as previous years.,topic_0,1.0
5,To see whether participants could accurately measure ratio differences using 3D bar charts better or worse than 2D rendered charts knowing that visual depth plays a role.,topic_0,6.6628367499288e-309
6,To do a statistical study on the different results students got from each bag and to see where students chose a different option or not.,topic_0,1.0
7,I believe the purpose of this experiment was to test whether or not having a physical model of the bar charts allow people to better estimate their size.,topic_0,1.2828756224715083e-308
8,"I think the purpose of this experiment was to compare how people interpret different graphs in different ways with using 2D graphs along with 3D graphs and combining the results to see how the results differed. The purpose of this experiment was to also try and replicate the experiment that Cleaveland and McGill had done previously, but they had to tweak some things in the experiment.",topic_0,0.05009768446555234
9,I think that the purpose of the experiment was to collect data of students from the same course over a period of time and see how results compare and differ.,topic_0,0.6177643315447044
10,To see the difference in how people interpret an online graph versus a physical copy of one.,topic_0,1.262269766601436e-308
11,To determine is students in the introduction to stats class at UNL were better/preferred reading 3D printed graphs compared to digital 2D graphs.,topic_0,0.06840788414107009
12,Probably to find an average on our ability to estimate sizing and percentages based on other things.,topic_0,0.187016572172265
13,To gain a better understanding of how visual representation plays a role in understanding the data it presents.,topic_0,0.16626025417804935
14,The purpose was to understand if 2D graphs are easier to interpret than 3D graphs.,topic_0,0.0903706056511056
15,To gauge depth perception of a physical object vs a object on the screen.,topic_0,0.16406424475473477
16,It was likely to investigate how different types of graphs affect student observations by comparing students' comprehension across various graph formats.,topic_0,1.1626747752650797e-308
17,To determine which model (2D or 3D) is easier to more accurately read and to see if the data was similar to the one they are recreating,topic_0,0.16004969312965583
18,Determine students' of stats 218 understanding of statistics through an in person graphing experiment.,topic_0,0.1600809397116254
19,The purpose is to see whether students can estimate the percentage of bar height when compared to others. We had limited tools. I used me own personal judgement or “gut feeling” to find percentages.,topic_0,1.573831972491881e-308
20,I think the purpose of this experiment was to find if this study would help or not and if it was giving good information as well.,topic_0,1.0
21,I believe the purpose of the experiment was to see how a person reading a bar graph can be influenced by neigboring numbers or stats.,topic_0,0.057132904960198114
22,I think that the purpose of this was to look into the ability for college students estimate numerical ranges in correlation to its location on a graph with other various values.,topic_0,0.04087174097039123
23,I think the purpose of the experiment was to see how well we can perceive things.,topic_0,3.41995198796149e-308
24,I think the purpose of this experiment was to determine the accuracy of 3D charts to 2D charts.,topic_0,1.1651501526437593e-308
25,"I think the purpose of the experiment was to see how different versions of models affected how people analyzed those models, specifically how accurate they were when estimating the ratios of the bars.",topic_0,1.246616832740877e-308
26,To see how accurately people perceive heights.,topic_0,0.09146676665874566
27,The purpose of the experiment was to determine if it 2-D or 3-D figures and charts are easier to identify by the human eye.,topic_0,1.154225829017822e-308
28,I think it was to see if people could accurately guess the ration of the two bars in graphs.,topic_0,1.3971219679329824e-308
29,To see the perception of different college students,topic_0,1.0
30,I think the purpose of this experiment was to understand the difference between different shapes on a graph and compare which shape is bigger than the other. I think the purpose was to compare the results of hands-on visualization and online visualization.,topic_0,0.0748375652364804
31,I think the purpose of the experiment was to test how students perceived heights based on the closeness/ separation of another given height,topic_0,0.09164250156289712
32,To test the ability of students perception of estimating amounts,topic_0,1.0
33,"To see how we compare the different shapes and sizes to each other, so like a null and alternative hypothesis.",topic_0,0.295973291615108
34,I think the purpose was to evaluate how people see different quantities and estimate numbers.,topic_0,0.4873697354217659
35,The purpose of the experiment was to determine the proportion of students who could correctly guess the difference in bar graph size based on if it was done online or in person with materials,topic_0,0.06746715105200586
36,To determine which type of graph (2D or 3D) yielded a higher percentage of successful estimates by students.,topic_0,0.0816900275803763
37,I think the purpose of the experiment was to gauge how students perceived bar graph values or just bar values when the values aren't given. There is variability between the physical graphs and the digital graphs as well.,topic_0,0.047634279856290304
38,"I think the purpose of the experiment was to evaluate how easy different presentations of graphs are for people to read, to know which types are best to use when publishing studies.",topic_0,0.11628971963823348
39,To see if participants could accurately/semi-accurately understand the graphs,topic_0,1.3369905104458893e-308
40,To see how the color of the blocks changed the perspective of how tall certain peaks of blocks were.,topic_0,0.13083922174210397
41,I think it was to test how everyone responds to an experiment like the one we took,topic_0,1.0
42,I think the purpose of the experiment was to see how people perceive objects compared to one another with potential other distractions.,topic_0,3.039834187170519e-308
43,I think the purpose of the experiment was to see if people can identify a difference in size on the computer vs in person holding the blocks.,topic_0,0.12519131681942153
44,I think the purpose of this experiment was to try and survey lots of peoples perceptions of size of things.,topic_0,0.11482709735196814
45,To see how bar graphs can affect someones perspective on the percentages being shown.,topic_0,0.10760320814423985
46,To see if people are capable of accurately determining a size difference of objects based strictly on visuals.,topic_0,0.22043496986436364
47,to see if students can correctly measure the proportions of the blocks,topic_0,0.1274824659576325
48,I think the purpose of this experiment was to see how individuals answers will vary/how they see and distinguish different proportions of bar graphs in different arrangements.,topic_0,1.1868760308753514e-308
49,To see if we would more accurately predict the percentages of the bars with a 3D model or on a 2D model.,topic_0,1.482688537182264e-308
50,I think the purpose of this experiment was to see how well participants could interpret graphs and if having a statistical background via taking a stats class may impact their interpretation skills.,topic_0,0.13213198920299435
51,I think the purpose is to look at how people interpret the difference in the magnitude of data depending on the form it is viewed in,topic_0,0.1987848327311862
52,To determine if people could accurately judge the difference in height with the blocks of different colors.,topic_0,0.1314442512555252
53,Find how accurate people's perception of size and scale is.,topic_0,1.693451818410279e-308
54,To see how different people interpret bar graphs and how they compare sizes based off of purely look given the percentage of the size compared to the other graph.,topic_0,0.10539826160150742
55,I think the experiment was to see what we have learned but also to see each persons outtake on the different shapes.,topic_0,2.3382817345070393e-308
56,I think the purpose was to find tendencies in how people select their answers and to pair them with a reason.,topic_0,0.2296817372557345
57,To see how certain people would think in different ways and how they pay attention to detail.,topic_0,0.23495551066470835
58,To see how well people are able to read graphs.,topic_0,1.358979047535823e-308
59,to see what we can observe compared to the actual reading,topic_0,0.1895344878780505
60,I think the purpose of the experiment was to see how students compare values (bars) in data sets (histogram) when viewing the histogram in 3-D vs a picture on the computer.,topic_0,1.1608280104131594e-308
61,The purpose was to compare how the general public sees data and how researchers see data.,topic_0,0.24047057168638733
62,Determine if we can approximate the differences in sizes of objects,topic_0,1.7091567610828205e-308
63,To see if we could notice the difference of the charts that we were looking at.,topic_0,0.07592695065937524
64,To show how looking at a flat graph (2D) can change perception and values when looking at a physical graph (3D).,topic_0,0.09165223058817484
65,I think the purpose of this experiment was to show us how experiments are conducted and generally how they look.,topic_0,1.0
66,to see how answers can differentiate from different viewers,topic_0,0.10698245844639719
67,This was to help us find and determine how to read graphs virtually and in a 3D form.,topic_0,0.09006074866105682
68,to investigate people's differing perceptions on graph reading,topic_0,1.1517856278444353e-308
69,I think the purpose of this experiment was to test the accuracy of 3D and 2D graphs,topic_0,1.1926630901584715e-308
70,"Truthfully, I'm not sure what the purpose of the experiment was. However, if I was to guess, I'd say it was like an experiment to see how well people can differentiate two things from one another.",topic_0,3.763427528305786e-308
71,To see how we interpret unlabeled graphs,topic_0,1.1476906542985373e-308
72,To learn how people comprehend graphs on a 3d and 2d scale.,topic_0,0.0995086716988812
73,I think the purpose of the experiment was to see how people interpreted graphs differently based on if they were 2D or 3D.,topic_0,1.1648570386771706e-308
