topic,rank,word,score
-1,1,bar,0.2613576679231169
-1,2,charts,0.23559510471849476
-1,3,people,0.22348685961832646
-1,4,graphs,0.22261571059821395
-1,5,bar charts,0.22156045916732045
-1,6,printed,0.22077835397756146
-1,7,different,0.22033841598006756
-1,8,results,0.21927101098414317
-1,9,3d,0.2176104090063955
-1,10,using,0.2172646624863877
0,1,experiment,0.31370797711905535
0,2,doing,0.28049932961513285
0,3,questions,0.27258654622256406
0,4,clearer,0.2670720370975336
0,5,variables,0.2651573838024474
0,6,study,0.2621341272592852
0,7,like,0.25990107415487923
0,8,abstract,0.25774455629612375
0,9,methods,0.25693758096711056
0,10,understand,0.25370558917477015
1,1,graph,0.34442785315027546
1,2,3d graphs,0.329824862548871
1,3,2d,0.3156850532600506
1,4,graphs,0.3076599911739892
1,5,chart,0.28755793532386736
1,6,3d,0.28498577069267156
1,7,difference,0.2703020041310871
1,8,3d charts,0.26722290230994816
1,9,charts,0.26385808855593923
1,10,2d graphs,0.2567394600079749
2,1,models,0.3284380924727543
2,2,depth,0.3069569194665245
2,3,objects,0.30074495014275315
2,4,2d,0.285938415771252
2,5,depth perception,0.27654451022317694
2,6,blocks,0.274373634059497
2,7,3d models,0.2698413638805113
2,8,experiment,0.25318339888834035
2,9,3d objects,0.2518675841215514
2,10,3d visuals,0.2504677142650904
3,1,charts,0.31967756678821785
3,2,bar,0.31161207917553807
3,3,heights,0.30072768689034746
3,4,3d printed,0.2884834463006705
3,5,printed,0.28532743982767605
3,6,bar heights,0.28122889515931443
3,7,printed charts,0.26521689062118614
3,8,2d 3d,0.2611181468546598
3,9,digital,0.25483381797764937
3,10,3d,0.2518924634637315
4,1,graphs,0.3480420061108036
4,2,2d graphs,0.2980691906692119
4,3,3d graphs,0.28497215533841647
4,4,different,0.2665316233786009
4,5,kit,0.26034720042973963
4,6,types graphs,0.25453209386457826
4,7,people,0.25288003387211166
4,8,able,0.2480146055529825
4,9,computer,0.2478947464972365
4,10,value,0.24589714615162345
5,1,visualization,0.3437374395370815
5,2,perceptual,0.3413324012836741
5,3,judgments,0.33323132258664073
5,4,3d printed,0.3198034211727824
5,5,printed,0.31025276260622997
5,6,data visualization,0.3071206235580078
5,7,charts,0.2986523598187548
5,8,printed bar,0.2964778618228165
5,9,aims,0.2833557425864459
5,10,effectiveness,0.2831534623931164
6,1,graphs,0.26757464826018384
6,2,know,0.2662945715044699
6,3,responses,0.2635476644302933
6,4,just,0.26070354247592953
6,5,clearer participant,0.25848803010777566
6,6,experiment,0.2522585794767126
6,7,components,0.2510871071708208
6,8,abstract,0.24979575539456128
6,9,clearer,0.24881991391895783
6,10,responses measured,0.24830530215099536
7,1,models,0.3823481150860611
7,2,online,0.37065483097937674
7,3,printed,0.36541090187215286
7,4,3d models,0.3441157723298392
7,5,shape,0.3368013667495485
7,6,printed 3d,0.3335886420457573
7,7,model,0.33234919686986863
7,8,3d printed,0.332113289638032
7,9,compared online,0.3252160848822065
7,10,image,0.32058079437139336
8,1,bars,0.4616728078088743
8,2,heights,0.3930381134567098
8,3,claim,0.33948874600102785
8,4,supposed,0.3323735870435435
8,5,different heights,0.33058894629412255
8,6,clearer,0.3272208001219642
8,7,reasoning,0.32080524840164165
8,8,successful,0.31148836740001495
8,9,bars supposed,0.31148836740001495
8,10,refute,0.31148836740001495
9,1,impaired,0.5190637334852382
9,2,visually impaired,0.5009995358070901
9,3,visually,0.48913276427726254
9,4,graphics visually,0.3430282639812604
9,5,graphics,0.31300720840937624
9,6,results study,0.3002586861348164
9,7,study,0.29898695237820927
9,8,people visually,0.2937649663332926
9,9,did know,0.2867199467188387
9,10,results,0.28005298612402096
