document_index,document,topic,probability
0,Seeing the marked bar closer and in person rather in screen because its harder when its on screen. Can you ever find the exact answer when working with those graphs. This experiment was kind of to show you how your percentage may change when having to look at it a different way such as in person and on screen. It shows that it does make a difference because it looks different from in person than on screen. It's also kind of to see how close the students can get to getting around the right percentage. It may even see how much better the students do when either looking at the screen or in person and to see what percentage of students prefer each of the scenarios.,topic_0,0.02749745104218148
1,I think it is clearer that this experiment is about how we perceive different types of dimensional figures. I am still curious as to how they are accounting for bias in the study. I also want to know what the results will be used for.,topic_0,1.5411917779014515e-308
2,"The whole objective of the experiment is more clear now. when I was doing the experiment I was confused about what the whole point of it was because I was just sliding a bar and guessing the height of certain columns but now I understand they wanted to see the difference in the way we perceive 2D, 3D, and 3D printed bar charts. While reading the abstract I was confused because what are radio buttons but for the actual experiment I don't have any questions.",topic_0,0.025560928201974482
3,I better understand the reason why we are looking at the 3D graphs and that it was looking how 2D models compare. I was also curious why only 2 bars of the graph were able to be identified but I understand now that it was on purpose to do that. I was also wondering how many kits there were and if there was different ones and I understand from reading now how many kits there are. One question I had was if the colors could have any impact on how you look at it cause some colors were easier to tell the difference in size for some reason.,topic_0,1.122952132480453e-308
4,"I understand how the conclusion can be drawn between the two age groups. It is fascinating how our answers may differ from what people would've estimated long ago. The only question I have for the researcher is how they address compound variables that would alter result, such as sight clarity or even something like mathematical knowledge. These variables could change what the participant may have said about the graphs.",topic_0,2.402354056840516e-308
5,"It makes much more sense with what the study is trying to find. At first I was confused about what exactly we were doing. I thought that it was mainly over seeing whether or not a population can be accurate in their perception of perceived ratio of a 3D graph. 

After reading the abstract I much better understand that the goal was to see if 3D graphs, rather than 2D or 3D rendered in 2D are still associated with worse results, or whether or not actual 3D graphs, those not rendered in 2D, actually help the study participants more closely choose the ratio between the triangle and circle bars.

My question for the researcher is if the results show that 3D printed graphs are easier to read/understand than 3D rendered in 2D, what will that entail for the future, and will anything of substance come from it, rather than just stating that 3D graphs are ""better"" than 3D graphs rendered in a 2D manner.",topic_0,0.02102061692598321
6,"The components of the experiment that are clearer now than they were as a participant are the reasonings for the experiment. Going into the expeiment I thought that this was made up by the department, but  see now that this was a replication of an experiment.  The graphics make a lot more sense too.",topic_0,1.0
7,"It is more clear what the researchers are testing, visual depth when it comes to 2D projections versus 3D printed charts. Also, I wasn't sure where there was randomization in this experiment but it is now clear that the two marked bars are a part of the randomization as well as randomly assigned kits. This is also a replication of another study done by Cleveland and McGill. One question I feel is still unclear is if the researchers are comparing the 2D estimates to the 3D rendered image results, or the physical 3D model.",topic_0,0.03502048346321253
8,"What is clearer now than it was when I was a participant was the specific details that happened in the background that you wouldn't think about. An example of this is when the abstract talked about how Cleveland and McGill did not specify the random process for generating the remaining bars in the bar charts, so they were generated from a scaled beta distribution with parameters that limit the amount of obsessive noise around the bars used for comparison. Another example I found was all the equations that went into the experiment to measure results and how they planned to place everything in a specific way and spot. A question that I still have for the experimenter is why not use 3D shapes for the whole experiment. I know the 3D and 2D were strategically placed in the experiment but why wouldn't you just focus on one for the whole experiment, and then run another one but with the 3D. Then take a look at both of those test results.",topic_0,3.5663337062375743e-308
9,Being a participant in this experiment left me with many unanswered questions that I find clear now. I was very confused on how the approach of doing this experiment could lead to so many different learning and average outcomes. I found it more clear that the colors and shapes of each graphic did not play a huge role in the experiment. I still am confused upon why so many different sets of kits were used rather than one set to see how everyone has similar findings and averages.,topic_0,0.05348921705283672
10,The component of the color corresponding to the height was clearer now than when participating in the experiment. I now have an understanding of what the experiment was truly about because when taking it I was confused about what the purpose was. I love how they used repetition since the experiment has already been done before and they cited it. One question I do have is why we did the experiment when in the abstract it said it was given to the members of the Statistics department and their spouses/partners. How many people ended up doing the experiment overall to get accurate results?,topic_0,0.04261828738983386
11,I learned a lot more about the designing graphics of the experiment and how the design is important to the data and how everything is connected. Another thing that is more clear is the methods used and the study design techniques. I don't have any questions for the experimenter.,topic_0,0.5863855931770267
12,"At first I was confused why we were doing it. It makes sense now that we were just extending a previous experiment from another school. That was really the only unclear thing to me, so I don't have any further quesions about it.",topic_0,1.0
13,"I now know the reason behind the study and the goal. The question being answered is whether there is a difference in comprehension between 2D and 3D graphs. As a participant, I had no idea why I was matching 3D graphs to 2D graphs. The abstract has now provided me with details of the experiement.",topic_0,0.026805763221263712
14,I had an idea of what the experiment would be about during the participation but now I have a clear understanding of what the goal is.  A couple of the questions I have is why there are more than two graphs since that is all you need to complete this task? Another question is why is there no experimenter present during the participation?,topic_0,0.03665183210963416
15,It is easier to see what is being tested when compared it to the Cleveland McGill experiment. I still do not fully understand recording the responses in log error. Why were the ratio of heights between bars specifically chosen?,topic_0,2.0759158211852554e-308
16,"As a participant, it was clear that the experiment was comparing the effectiveness of 3D printed charts to their 2D counterparts in terms of data visualization. However, the abstract provides additional clarity by highlighting the specific issue of visual depth as a limiting factor of interpretation. I'm curious about specific methodologies used to assess the effectiveness of 3D printed charts compared to 2D rendered counterparts. I also wonder if the study controlled for factors such as student's prior experience with 3D visualization or familiarity with the experimental design.",topic_0,0.018280271355806586
17,"When I was first completing the study, I was kind of confused on what the goal of it was. I thought it was kind of hard to answer because we just had to give an estimate of what we thought through the slider. It is more clear to me now that they are trying to determine whether 2D or 3D is easier to more accurately measure. My question for the experimenter is how consistent is the data? I feel that the slider would give a wide range of answer from your participants so how to do draw a correlation from that? Why not just give like four answer choices and we click which one we think it is closest to, that way you get more consistent data to look at.",topic_0,0.03146136096200212
18,I did not know that the goal was to compare effectiveness of 3d vs 2d charts and that previous data concludes the accuracy of that data (3d) was worse than 2d. While conducting the experiment I was curious on the specific purpose. Looking at 3d charts and taking a best guess on the size of the bars seemed simple and trivial. I now see how this experiment was created with the hopes of proving how 3d charts are more effective than even printed 3d charts and both more so than 2d.,topic_0,0.031150883341957383
19,"Parts that seem clearer are what the experiment is trying to accomplish. In this experiment, a random participant will determine the height of each bar on a number-based scale out of 100. The participant will also indicate which bar is smaller. 26 kits assist with the randomization process.  The participant's graphs are given and compared in random order between 2D, 3D, and 3D printed structures. It is shown that 3D graphs are less actuate at portraying numeric information than 2D graphs. I am still confused about the control group for this experiment. Is the control group the first initial graphs given to the participants?",topic_0,1.3377571060349967e-308
20,The things of the the experiment that are more clear now is how the whole block system worked and how a different angle can make the blocks seem bigger than each other. The questions I have are how did they come up with the three d blocks and are they accurate to make sure that the results are as good as they can be?,topic_0,1.733502727169604e-308
21,"I beleive the major component that I did not think about was the comparison between 2d and 3d digital/ physical bar graphs, I did however figure out that the original study was done to see the effect of other bars in the way of the marked ones to see how that would distort ones view of a value. Another thing I did not know before was that the data from the study is going to be used to help the visually impaired, most likely by intertwining the results into new objects or procedures. As far as further questions I really don't have any, but I do think making it slightly more interesting could help keep focus on the study as towards the end of the project I was getting pretty bored.",topic_0,2.0066527319879246e-308
22,"Some components that are clearer now than when I was a participant would have to be the fact that the study is working to differentiate between the effectiveness of 2D and 3D models. While I was participating in the experiment, I wasn't entirely sure what the purpose was but figured it had something to do with estimation and correlating that to colors of the models that we were viewing. Some potential questions that I would probably pose to the experimenter would most likely have something to do with consideration of male versus female participants. While that may not have been one of the components of the experiment, would that be something that you may look into throughout the future?",topic_0,3.434318418847648e-308
