Document,Topic,Name,Representation,KeyBERT,MMR,POS,Representative_Docs,Top_n_words,Probability,Representative_document
Seeing the marked bar closer and in person rather in screen because its harder when its on screen. Can you ever find the exact answer when working with those graphs. This experiment was kind of to show you how your percentage may change when having to look at it a different way such as in person and on screen. It shows that it does make a difference because it looks different from in person than on screen. It's also kind of to see how close the students can get to getting around the right percentage. It may even see how much better the students do when either looking at the screen or in person and to see what percentage of students prefer each of the scenarios.,-1,-1_bar_charts_people_graphs,"['bar', 'charts', 'people', 'graphs', 'bar charts', 'printed', 'different', 'results', '3d', 'using']","['3d graphs', 'bar charts', 'bar graph', 'graphs', 'charts', 'digital 3d', '3d', 'graph', 'bar sizes', '3d 3d']","['charts', 'people', 'graphs', 'bar charts', 'printed', '3d', 'reading', 'graph', 'data', 'experiment']","['bar', 'charts', 'people', 'graphs', 'different', 'results', '3d', 'clear', 'study', '2d']","[""After reading the abstract and methods, several components of the experiment are clearer now than when I was just a participant. I understand that the experiment is not only about comparing 2D and 3D digital graphs, but also includes 3D printed bar charts to examine perceptual judgments in a tangible, physical environment. The process for replicating Cleveland and McGill’s study and the use of specific bar height ratios is much more transparent, as is the random assignment of graph types and comparisons. However, I still have questions for the experimenter: How were the particular bar ratios chosen for each participant, and did the order of presenting 2D, 3D digital, and 3D printed charts affect participants’ judgments? Additionally, I wonder if participants' prior experience with interpreting graphs influenced their results, and whether this was accounted for in the analysis."", ""It's clearer now as to why I needed to say how much smaller I thought one bar of the graph is compared to another, it's important to understand what a graph is telling you and that different graph types (2D or 3D) can display the same results but look different. Scaling is important when creating graphs, and it can be misleading to the participant or reader if there are discrepancies between graphs that may be displaying the same information. I also understand why using different graph types shows that there are differences in how the data is displayed and how that can make it difficult to determine how the participant takes the information or how they read the data. Discrepancies in graphs can lead to a lack of validity in results, which can be bad for experimenters, so a study like this is important to see how participants read the results from different graphs. Do you think that this type of experiment can be extended to classes or subjects outside of statistics? Are there specific situations when you should use a 2D graph over a 3D graph, or vice versa? Do you think it is easier to judge graphs online or do you think it is better on paper, or is there no major influence for either?"", ""As a participant, the overall structure and purpose of the experiment were less clear, especially regarding how the different types of graphs were designed and used for comparison. After reading the abstract, it's now clear how the study systematically replicated and extended the Cleveland and McGill experiment using 2D, digital, 3D, and 3D printed bar charts. The method for generating graph values and the reasoning behind design choices like the use of symbols and colored filament make more sense now. One question I still have is how much physical interaction with the 3D printed charts influenced accuracy compared to digital 3D charts. I'm also curious about how the researchers controlled for bias due to color or texture differences in the 3D printed materials.""]",bar - charts - people - graphs - bar charts - printed - different - results - 3d - using,0.1416281996829517,False
I think it is clearer that this experiment is about how we perceive different types of dimensional figures. I am still curious as to how they are accounting for bias in the study. I also want to know what the results will be used for.,2,2_models_depth_objects_2d,"['models', 'depth', 'objects', '2d', 'depth perception', 'blocks', '3d models', 'experiment', '3d objects', '3d visuals']","['depth perception', 'visual depth', 'affect depth', 'purpose experiment', 'understanding experiment', '3d visuals', 'perception', 'underlying vision', 'participant research', 'participants affect']","['depth', 'depth perception', '3d models', 'experiment', '3d objects', '3d visuals', '2d models', 'perception', '2d 3d', 'reading']","['models', 'depth', 'objects', '2d', 'depth perception', 'blocks', 'experiment', 'perception', 'sense', 'interesting']","['After reading the abstract, it is now much clearer what the purpose of the experiment was. I originally thought that the main purpose of the experiment was to just determine if there was a difference between data perceptions in 2D vs. 3D media, but I feel that the abstract makes it clear that the main purpose of the experiment is to determine how participants judge the data based on the visual depth available to them. A few questions that I still have for the experimenter are ""what are the implications of the findings?"" and ""how can these results be applied to real world scenarios?"" I enjoyed reading this abstract and its findings after being a participant in the experiment, as it allowed me to put the pieces together for what I was participating for. The abstract did a good job at addressing the experimental design and how this may be applied for future research which was interesting.', ""When I first took part in the experiment, I didn't know why there was both an online and physcial component to the study, in terms of analying 2D and 3D digital models as well as a 3D physical model. But knowing that the experient's focus was to look at how the perceptual accuracy of the participant is impacted by depth perception and and the presentation of the media, this instantly makes more sense. However, I still do wonder if the researchers crontrolled for the participant's research bias, or if they considered underlying vision issues in participants that can affect their depth perception. As someone pursuing a career in eyecare, this is very interesting to me."", ""When I first took part in the experiment, I didn't know why there was both an online and physcial component to the study, in terms of analying 2D and 3D digital models as well as a 3D physical model. But knowing that the experient's focus was to look at how the perceptual accuracy of the participant is impacted by depth perception and and the presentation of the media, this instantly makes more sense. However, I still do wonder if the researchers crontrolled for the participant's research bias, or if they considered underlying vision issues in participants that can affect their depth perception. As someone pursuing a career in eyecare, this is very interesting to me.""]",models - depth - objects - 2d - depth perception - blocks - 3d models - experiment - 3d objects - 3d visuals,1.0,False
"The whole objective of the experiment is more clear now. when I was doing the experiment I was confused about what the whole point of it was because I was just sliding a bar and guessing the height of certain columns but now I understand they wanted to see the difference in the way we perceive 2D, 3D, and 3D printed bar charts. While reading the abstract I was confused because what are radio buttons but for the actual experiment I don't have any questions.",-1,-1_bar_charts_people_graphs,"['bar', 'charts', 'people', 'graphs', 'bar charts', 'printed', 'different', 'results', '3d', 'using']","['3d graphs', 'bar charts', 'bar graph', 'graphs', 'charts', 'digital 3d', '3d', 'graph', 'bar sizes', '3d 3d']","['charts', 'people', 'graphs', 'bar charts', 'printed', '3d', 'reading', 'graph', 'data', 'experiment']","['bar', 'charts', 'people', 'graphs', 'different', 'results', '3d', 'clear', 'study', '2d']","[""After reading the abstract and methods, several components of the experiment are clearer now than when I was just a participant. I understand that the experiment is not only about comparing 2D and 3D digital graphs, but also includes 3D printed bar charts to examine perceptual judgments in a tangible, physical environment. The process for replicating Cleveland and McGill’s study and the use of specific bar height ratios is much more transparent, as is the random assignment of graph types and comparisons. However, I still have questions for the experimenter: How were the particular bar ratios chosen for each participant, and did the order of presenting 2D, 3D digital, and 3D printed charts affect participants’ judgments? Additionally, I wonder if participants' prior experience with interpreting graphs influenced their results, and whether this was accounted for in the analysis."", ""It's clearer now as to why I needed to say how much smaller I thought one bar of the graph is compared to another, it's important to understand what a graph is telling you and that different graph types (2D or 3D) can display the same results but look different. Scaling is important when creating graphs, and it can be misleading to the participant or reader if there are discrepancies between graphs that may be displaying the same information. I also understand why using different graph types shows that there are differences in how the data is displayed and how that can make it difficult to determine how the participant takes the information or how they read the data. Discrepancies in graphs can lead to a lack of validity in results, which can be bad for experimenters, so a study like this is important to see how participants read the results from different graphs. Do you think that this type of experiment can be extended to classes or subjects outside of statistics? Are there specific situations when you should use a 2D graph over a 3D graph, or vice versa? Do you think it is easier to judge graphs online or do you think it is better on paper, or is there no major influence for either?"", ""As a participant, the overall structure and purpose of the experiment were less clear, especially regarding how the different types of graphs were designed and used for comparison. After reading the abstract, it's now clear how the study systematically replicated and extended the Cleveland and McGill experiment using 2D, digital, 3D, and 3D printed bar charts. The method for generating graph values and the reasoning behind design choices like the use of symbols and colored filament make more sense now. One question I still have is how much physical interaction with the 3D printed charts influenced accuracy compared to digital 3D charts. I'm also curious about how the researchers controlled for bias due to color or texture differences in the 3D printed materials.""]",bar - charts - people - graphs - bar charts - printed - different - results - 3d - using,0.2438950429557054,False
I better understand the reason why we are looking at the 3D graphs and that it was looking how 2D models compare. I was also curious why only 2 bars of the graph were able to be identified but I understand now that it was on purpose to do that. I was also wondering how many kits there were and if there was different ones and I understand from reading now how many kits there are. One question I had was if the colors could have any impact on how you look at it cause some colors were easier to tell the difference in size for some reason.,7,7_models_online_printed_3d models,"['models', 'online', 'printed', '3d models', 'shape', 'printed 3d', 'model', '3d printed', 'compared online', 'image']","['printed 3d', 'study 3d', '3d models', '3d', 'printed charts', 'printed graph', '3d printed', '3d image', 'printed model', '3d printers']","['3d models', 'shape', 'printed 3d', '3d printed', 'compared online', 'printed model', 'accurate participant', 'looking models', 'pictures confused', 'graphs goal']","['models', 'online', 'shape', 'model', 'image', 'ones', '3d', 'graphs', 'confused', 'accurate']","['I now understand the difference between the 2D, digital 3D, and printed 3D by watching the videos and experiencing reading all of the different types of graphs. the goal of this experiment is also clearer. I think some questions I have for the experimenter would be, if we made the 2D, digital 3D, and printed 3D all the same graph would people read it differently just because of the difference in the types of graphs. Since the goal of the experiment is to see if 3D models make it easier to read, I think that the experimenter could use a variety of 3D models to see which kinds of 3D models make it the easiest for people to read.', 'As a participant, I was initially unclear how the graphs were specifically constructed and what measures were taken to have consistency in 2D, 3D digital, and 3D printed output. Having read this article, I better know the process of design. It’s also clearer now how carefully scaling and visual presentation were handled across mediums. Something I would ask the experimenter is how variability was controlled in a participants perception through physical manipulation of the 3D printed charts. I would also love it if they could say how color assignment for printed graphs was randomized and whether it had any unconscious effect on perception.', 'Is clear to me that the different dimension of the 3D shape could be accurate or not depending on the way is presented. It was hard for me to see the differences between the shape after doing both the digital shape and the physical one. 3D printed shape were a lot more hard to do the numerical comparison.I think the experiment was to compare the accuracy depending on the different graph that were shown to analyze. The question I have now is about on the accuracy of the participants that were asked to estimate each graphs. Were they accurate to the right answer? Does the result of each participant support the study of 3D printed charts being more accurate? As being a participant, I think the digital one was more hard to guess the accuracy then the printed version.']",models - online - printed - 3d models - shape - printed 3d - model - 3d printed - compared online - image,1.0,False
"I understand how the conclusion can be drawn between the two age groups. It is fascinating how our answers may differ from what people would've estimated long ago. The only question I have for the researcher is how they address compound variables that would alter result, such as sight clarity or even something like mathematical knowledge. These variables could change what the participant may have said about the graphs.",6,6_graphs_know_responses_just,"['graphs', 'know', 'responses', 'just', 'clearer participant', 'experiment', 'components', 'abstract', 'clearer', 'responses measured']","['experiment clearer', 'reading graphs', 'measured graphs', 'responses measured', 'data analysis', 'know experiment', 'study graphs', 'experiment', 'question experimenter', 'clearer participant']","['clearer participant', 'abstract', 'clearer', 'responses measured', 'graph', 'components clearer', 'experimenter', 'interpret', 'experiment clearer', 'sense']","['graphs', 'responses', 'experiment', 'components', 'abstract', 'clearer', 'question', 'participant', 'people', 'graph']","[""What is clearer now than it was when I was a participant was the specific details that happened in the background that you wouldn't think about. An example of this is when the abstract talked about how Cleveland and McGill did not specify the random process for generating the remaining bars in the bar charts, so they were generated from a scaled beta distribution with parameters that limit the amount of obsessive noise around the bars used for comparison. Another example I found was all the equations that went into the experiment to measure results and how they planned to place everything in a specific way and spot. A question that I still have for the experimenter is why not use 3D shapes for the whole experiment. I know the 3D and 2D were strategically placed in the experiment but why wouldn't you just focus on one for the whole experiment, and then run another one but with the 3D. Then take a look at both of those test results."", ""It makes more sense about how close our guesses were to the actual ratio of what the graph was trying to tell us. I think after reading this I have more of an appreciation for how the numbers and accuracy is conducted in the experiment. Seeing the use of logs to help the use of significant digs for the accuracy ratio, it makes more sense about why there were so many questions regarding our estimation. The math makes sense. Let's say i guessed 95% and the correct answer was 89%, this would state that my guess was in the area of 2% off, I think. Based off my calculations my answer would be like 1.93 ish. Even if that isn't fully correct, it would state that my guess was a bit off from the actual value which makes a lot of sense. The only question I would have is whether or not there is a simpler way to calculate the difference in guess values? Think it would be easy to say that I am 6% off. But is it completely necessary to do more math to find the difference in values? That being said it makes more sense. My brain isn't math savvy all the time so a ton of things escape me in the abstract, but I hope this makes some sense where I am coming from."", 'As a participant I just understood the basic guidelines of the experiment including the hypothesis, and how they were going to conduct the experiment. After reading the abstract there are several components that are clearer than they were when I was just a participant. I understand exactly how they designed the graphs involved in the experiment, and why the specific graph designs were chosen. I also learned they plan on continuing this experiment and collecting data, and this was not the last experiment they will conduct. I also now know that the responses will be measured ""by log of error"" between the two different distances. Also it is now perfectly clear that all participants received two questions along with the bar graphs. All of these pieces of information were not known or clear to me when I was just participating in the experiment.\xa0\n\nA question I still have for the experimenter is, would they extend the experiment beyond statistics students for their participants? Would it create more bias in the experiment? I also wonder how the algorithm randomly assigns graphs, I know that there is no specific way they randomize it as stated in the abstract but I am curious how it works overall and how consistent and accurate it is?\n\nThe abstract was very clear, and informational on the experiment. The abstract explained the two methods for 2D and 3D, and how they are used in the experiment. The abstract explained how the values for bar heights and values are determined. The limitations in the data, including bias, prior knowledge of graphs, were mentioned and the abstract explained that they account for these limitations in the study design of the graphs, The abstract also went into more detail about how this data will continue to grow in the \xa0future, and what they plan on doing in the future with thee data.']",graphs - know - responses - just - clearer participant - experiment - components - abstract - clearer - responses measured,1.0,False
"It makes much more sense with what the study is trying to find. At first I was confused about what exactly we were doing. I thought that it was mainly over seeing whether or not a population can be accurate in their perception of perceived ratio of a 3D graph. 

After reading the abstract I much better understand that the goal was to see if 3D graphs, rather than 2D or 3D rendered in 2D are still associated with worse results, or whether or not actual 3D graphs, those not rendered in 2D, actually help the study participants more closely choose the ratio between the triangle and circle bars.

My question for the researcher is if the results show that 3D printed graphs are easier to read/understand than 3D rendered in 2D, what will that entail for the future, and will anything of substance come from it, rather than just stating that 3D graphs are ""better"" than 3D graphs rendered in a 2D manner.",-1,-1_bar_charts_people_graphs,"['bar', 'charts', 'people', 'graphs', 'bar charts', 'printed', 'different', 'results', '3d', 'using']","['3d graphs', 'bar charts', 'bar graph', 'graphs', 'charts', 'digital 3d', '3d', 'graph', 'bar sizes', '3d 3d']","['charts', 'people', 'graphs', 'bar charts', 'printed', '3d', 'reading', 'graph', 'data', 'experiment']","['bar', 'charts', 'people', 'graphs', 'different', 'results', '3d', 'clear', 'study', '2d']","[""After reading the abstract and methods, several components of the experiment are clearer now than when I was just a participant. I understand that the experiment is not only about comparing 2D and 3D digital graphs, but also includes 3D printed bar charts to examine perceptual judgments in a tangible, physical environment. The process for replicating Cleveland and McGill’s study and the use of specific bar height ratios is much more transparent, as is the random assignment of graph types and comparisons. However, I still have questions for the experimenter: How were the particular bar ratios chosen for each participant, and did the order of presenting 2D, 3D digital, and 3D printed charts affect participants’ judgments? Additionally, I wonder if participants' prior experience with interpreting graphs influenced their results, and whether this was accounted for in the analysis."", ""It's clearer now as to why I needed to say how much smaller I thought one bar of the graph is compared to another, it's important to understand what a graph is telling you and that different graph types (2D or 3D) can display the same results but look different. Scaling is important when creating graphs, and it can be misleading to the participant or reader if there are discrepancies between graphs that may be displaying the same information. I also understand why using different graph types shows that there are differences in how the data is displayed and how that can make it difficult to determine how the participant takes the information or how they read the data. Discrepancies in graphs can lead to a lack of validity in results, which can be bad for experimenters, so a study like this is important to see how participants read the results from different graphs. Do you think that this type of experiment can be extended to classes or subjects outside of statistics? Are there specific situations when you should use a 2D graph over a 3D graph, or vice versa? Do you think it is easier to judge graphs online or do you think it is better on paper, or is there no major influence for either?"", ""As a participant, the overall structure and purpose of the experiment were less clear, especially regarding how the different types of graphs were designed and used for comparison. After reading the abstract, it's now clear how the study systematically replicated and extended the Cleveland and McGill experiment using 2D, digital, 3D, and 3D printed bar charts. The method for generating graph values and the reasoning behind design choices like the use of symbols and colored filament make more sense now. One question I still have is how much physical interaction with the 3D printed charts influenced accuracy compared to digital 3D charts. I'm also curious about how the researchers controlled for bias due to color or texture differences in the 3D printed materials.""]",bar - charts - people - graphs - bar charts - printed - different - results - 3d - using,0.19175725734517557,False
"The components of the experiment that are clearer now than they were as a participant are the reasonings for the experiment. Going into the expeiment I thought that this was made up by the department, but  see now that this was a replication of an experiment.  The graphics make a lot more sense too.",0,0_experiment_doing_questions_clearer,"['experiment', 'doing', 'questions', 'clearer', 'variables', 'study', 'like', 'abstract', 'methods', 'understand']","['understand experiment', 'experiment clearer', 'overall experiment', 'study design', 'purpose experiment', 'reading abstract', 'previous experiment', 'research implications', 'results study', 'abstract']","['experiment', 'variables', 'abstract', 'design', 'purpose', 'methods used', 'experimenter', 'participant', 'study design', 'reading extended']","['experiment', 'questions', 'clearer', 'variables', 'study', 'abstract', 'methods', 'design', 'results', 'overall']","[""The background of the experiment is much clearer it is interesting that the researchers were inspired by a previous experiment and expanded on those findings. I had an idea of what they were probably trying to find out, but the abstract makes the study's goals clear. Since I took the test online it was nice to see what the 3D models looked like. The abstract also did a good job of quickly covering the process that went into designing the experiment and models. Since it was an abstract they did not fully discuss the findings but I would be curious about the findings of the student expirements that they were planning to do and I participated in."", ""As a participant, the purpose and structure of the experiment may have felt unclear or even confusing, especially if information was withheld to maintain objectivity. Reflecting on the abstract now, it's clearer how the variables were controlled, what the researchers were measuring, and what hypotheses they were testing. Understanding the broader context of the experiment also helps make sense of why certain tasks or conditions were included. However, questions remain about specific decisions the experimenter made such as why particular stimuli were chosen or how certain measurements were interpreted. It would be helpful to ask the experimenter for more insight into the reasoning behind the design and how potential biases were addressed."", 'After reading the extended abstract, I got more insight of the experiment, and each step by step and the experimenters process throughout administering the experiment. I also got more insight on the experimenters limitations throughout the experiment, and some adjustments that had to be made throughout the experiment. I also learned how they want to further investigate this experiment in the future, and their future goals of the experiment. However, I do still have a few questions for the experiment. How did they choose the study design that they did? Would choosing a different study design, or doing a random sample of a larger population than just the stats course change the experiment greatly? How many more times would they like to repeat this experiment, and with how many stats courses?\n\nOverall, reading the abstract gave me more insight on the experiment, and the experimenters thought process which was beneficial to read about after being an participant. They discussed specific details of the experiment, including the replication process, and specific details like the ratios and the process behind designing the graphics. Overall, this experiment still has many more steps to complete in order to conclude the experiment, and in order to release the conclusion of the experiment.']",experiment - doing - questions - clearer - variables - study - like - abstract - methods - understand,1.0,False
"It is more clear what the researchers are testing, visual depth when it comes to 2D projections versus 3D printed charts. Also, I wasn't sure where there was randomization in this experiment but it is now clear that the two marked bars are a part of the randomization as well as randomly assigned kits. This is also a replication of another study done by Cleveland and McGill. One question I feel is still unclear is if the researchers are comparing the 2D estimates to the 3D rendered image results, or the physical 3D model.",3,3_charts_bar_heights_3d printed,"['charts', 'bar', 'heights', '3d printed', 'printed', 'bar heights', 'printed charts', '2d 3d', 'digital', '3d']","['3d charts', 'bar charts', 'clearer experiment', 'bar graphs', '2d charts', 'charts 2d', 'printed charts', 'compared 2d', 'perceptual accuracy', 'charts say']","['charts', '3d printed', 'bar heights', 'printed charts', '2d 3d', 'ratios', 'height', 'participants', 'bar graphs', '3d digital']","['charts', 'bar', 'heights', 'digital', '3d', '2d', 'ratios', 'height', 'abstract', 'participants']","[""Reflecting on the abstract, it’s now much clearer that the experiment's main goal was to test how accurately people can judge ratios from 3D printed bar charts compared to 2D charts, with a focus on depth perception challenges. As a participant, it wasn’t immediately obvious that the study was replicating and expanding on Cleveland and McGill’s original research. One lingering question I still have is how exactly the researchers controlled for individual differences in participants' interpretation of depth and size — did they account for things like visual acuity or prior experience with 3D charts? Another thing I'm curious about is whether participants' familiarity with 3D objects in daily life influenced their results."", 'After reading the abstract, it is much clearer what the purpose of the experiment was: to compare how well people can interpret data from 2D charts, 3D digital charts, and 3D printed bar charts. The abstract also clarifies that previous studies mostly looked at 3D charts as 2D projections, while this study actually used physical 3D printed graphs, which is an innovative extension. As a participant, it may not have been obvious that the experiment was replicating and building on the work of Cleveland and McGill, or that the main goal was to evaluate perceptual accuracy across different mediums.\nQuestions I still have for the experimenter include: How were the specific bar heights and ratios chosen for each participant? Was there any feedback provided after the experiment to explain the correct answers or purpose? Also, I wonder if the results differ significantly between the 3D digital and 3D printed charts, and what those differences might suggest.', ""After reading the abstract I was able to understand the purpose of the study a lot more. I now understand that the point of the study was to compare the effectiveness of 3D printed charts compared to 2D rendered and 3D digital charts. We were testing perceptual judgments of bar heights. I now understand better now the reason for using a log scale for bar heights and the constraints in creating the bar height ratios.\xa0\n\nI don't have many questions about the experiment. One question I might have is why beta distribution was used to generate graph heights of the non-comparison bars? Another question would be what specific limitations there were when matching the 3D charts to the 2D charts?\n\nI would say that the abstract effectively highlighted the main issue of depth perception with using 2D rendering of 3D data visuals and set up a clear comparison between 2D, 3D digital, and 3D printed bar charts. It did an adequate job at explaining the study's goal in evaluating the effectiveness of 3D printed charts in conveying data compared to 2D and digital 3D charts. There was a lot of emphasis on replicating and extending the previous research. Overall, the abstract is well-structured and informative, it gives the reader a good understanding of the research done and the purpose of the research.""]",charts - bar - heights - 3d printed - printed - bar heights - printed charts - 2d 3d - digital - 3d,0.1751849793911017,False
"What is clearer now than it was when I was a participant was the specific details that happened in the background that you wouldn't think about. An example of this is when the abstract talked about how Cleveland and McGill did not specify the random process for generating the remaining bars in the bar charts, so they were generated from a scaled beta distribution with parameters that limit the amount of obsessive noise around the bars used for comparison. Another example I found was all the equations that went into the experiment to measure results and how they planned to place everything in a specific way and spot. A question that I still have for the experimenter is why not use 3D shapes for the whole experiment. I know the 3D and 2D were strategically placed in the experiment but why wouldn't you just focus on one for the whole experiment, and then run another one but with the 3D. Then take a look at both of those test results.",6,6_graphs_know_responses_just,"['graphs', 'know', 'responses', 'just', 'clearer participant', 'experiment', 'components', 'abstract', 'clearer', 'responses measured']","['experiment clearer', 'reading graphs', 'measured graphs', 'responses measured', 'data analysis', 'know experiment', 'study graphs', 'experiment', 'question experimenter', 'clearer participant']","['clearer participant', 'abstract', 'clearer', 'responses measured', 'graph', 'components clearer', 'experimenter', 'interpret', 'experiment clearer', 'sense']","['graphs', 'responses', 'experiment', 'components', 'abstract', 'clearer', 'question', 'participant', 'people', 'graph']","[""What is clearer now than it was when I was a participant was the specific details that happened in the background that you wouldn't think about. An example of this is when the abstract talked about how Cleveland and McGill did not specify the random process for generating the remaining bars in the bar charts, so they were generated from a scaled beta distribution with parameters that limit the amount of obsessive noise around the bars used for comparison. Another example I found was all the equations that went into the experiment to measure results and how they planned to place everything in a specific way and spot. A question that I still have for the experimenter is why not use 3D shapes for the whole experiment. I know the 3D and 2D were strategically placed in the experiment but why wouldn't you just focus on one for the whole experiment, and then run another one but with the 3D. Then take a look at both of those test results."", ""It makes more sense about how close our guesses were to the actual ratio of what the graph was trying to tell us. I think after reading this I have more of an appreciation for how the numbers and accuracy is conducted in the experiment. Seeing the use of logs to help the use of significant digs for the accuracy ratio, it makes more sense about why there were so many questions regarding our estimation. The math makes sense. Let's say i guessed 95% and the correct answer was 89%, this would state that my guess was in the area of 2% off, I think. Based off my calculations my answer would be like 1.93 ish. Even if that isn't fully correct, it would state that my guess was a bit off from the actual value which makes a lot of sense. The only question I would have is whether or not there is a simpler way to calculate the difference in guess values? Think it would be easy to say that I am 6% off. But is it completely necessary to do more math to find the difference in values? That being said it makes more sense. My brain isn't math savvy all the time so a ton of things escape me in the abstract, but I hope this makes some sense where I am coming from."", 'As a participant I just understood the basic guidelines of the experiment including the hypothesis, and how they were going to conduct the experiment. After reading the abstract there are several components that are clearer than they were when I was just a participant. I understand exactly how they designed the graphs involved in the experiment, and why the specific graph designs were chosen. I also learned they plan on continuing this experiment and collecting data, and this was not the last experiment they will conduct. I also now know that the responses will be measured ""by log of error"" between the two different distances. Also it is now perfectly clear that all participants received two questions along with the bar graphs. All of these pieces of information were not known or clear to me when I was just participating in the experiment.\xa0\n\nA question I still have for the experimenter is, would they extend the experiment beyond statistics students for their participants? Would it create more bias in the experiment? I also wonder how the algorithm randomly assigns graphs, I know that there is no specific way they randomize it as stated in the abstract but I am curious how it works overall and how consistent and accurate it is?\n\nThe abstract was very clear, and informational on the experiment. The abstract explained the two methods for 2D and 3D, and how they are used in the experiment. The abstract explained how the values for bar heights and values are determined. The limitations in the data, including bias, prior knowledge of graphs, were mentioned and the abstract explained that they account for these limitations in the study design of the graphs, The abstract also went into more detail about how this data will continue to grow in the \xa0future, and what they plan on doing in the future with thee data.']",graphs - know - responses - just - clearer participant - experiment - components - abstract - clearer - responses measured,1.0,True
Being a participant in this experiment left me with many unanswered questions that I find clear now. I was very confused on how the approach of doing this experiment could lead to so many different learning and average outcomes. I found it more clear that the colors and shapes of each graphic did not play a huge role in the experiment. I still am confused upon why so many different sets of kits were used rather than one set to see how everyone has similar findings and averages.,-1,-1_bar_charts_people_graphs,"['bar', 'charts', 'people', 'graphs', 'bar charts', 'printed', 'different', 'results', '3d', 'using']","['3d graphs', 'bar charts', 'bar graph', 'graphs', 'charts', 'digital 3d', '3d', 'graph', 'bar sizes', '3d 3d']","['charts', 'people', 'graphs', 'bar charts', 'printed', '3d', 'reading', 'graph', 'data', 'experiment']","['bar', 'charts', 'people', 'graphs', 'different', 'results', '3d', 'clear', 'study', '2d']","[""After reading the abstract and methods, several components of the experiment are clearer now than when I was just a participant. I understand that the experiment is not only about comparing 2D and 3D digital graphs, but also includes 3D printed bar charts to examine perceptual judgments in a tangible, physical environment. The process for replicating Cleveland and McGill’s study and the use of specific bar height ratios is much more transparent, as is the random assignment of graph types and comparisons. However, I still have questions for the experimenter: How were the particular bar ratios chosen for each participant, and did the order of presenting 2D, 3D digital, and 3D printed charts affect participants’ judgments? Additionally, I wonder if participants' prior experience with interpreting graphs influenced their results, and whether this was accounted for in the analysis."", ""It's clearer now as to why I needed to say how much smaller I thought one bar of the graph is compared to another, it's important to understand what a graph is telling you and that different graph types (2D or 3D) can display the same results but look different. Scaling is important when creating graphs, and it can be misleading to the participant or reader if there are discrepancies between graphs that may be displaying the same information. I also understand why using different graph types shows that there are differences in how the data is displayed and how that can make it difficult to determine how the participant takes the information or how they read the data. Discrepancies in graphs can lead to a lack of validity in results, which can be bad for experimenters, so a study like this is important to see how participants read the results from different graphs. Do you think that this type of experiment can be extended to classes or subjects outside of statistics? Are there specific situations when you should use a 2D graph over a 3D graph, or vice versa? Do you think it is easier to judge graphs online or do you think it is better on paper, or is there no major influence for either?"", ""As a participant, the overall structure and purpose of the experiment were less clear, especially regarding how the different types of graphs were designed and used for comparison. After reading the abstract, it's now clear how the study systematically replicated and extended the Cleveland and McGill experiment using 2D, digital, 3D, and 3D printed bar charts. The method for generating graph values and the reasoning behind design choices like the use of symbols and colored filament make more sense now. One question I still have is how much physical interaction with the 3D printed charts influenced accuracy compared to digital 3D charts. I'm also curious about how the researchers controlled for bias due to color or texture differences in the 3D printed materials.""]",bar - charts - people - graphs - bar charts - printed - different - results - 3d - using,0.18299967901593572,False
