topic,rank,word,score
-1,1,color,0.4321830353622867
-1,2,bar graphs,0.37706366870806196
-1,3,colors,0.374580016152681
-1,4,bigger,0.374580016152681
-1,5,reading,0.363734110059768
-1,6,50,0.35586651450742296
-1,7,values,0.35031450652234924
-1,8,stats,0.34793724347798344
-1,9,estimating,0.34495984042358646
-1,10,question,0.3419432073957881
0,1,experiment,0.45996392278901166
0,2,based,0.4122501254455337
0,3,shapes,0.4047556814652394
0,4,estimations,0.3716466897515275
0,5,relative,0.3698356833094747
0,6,presented,0.3698356833094747
0,7,testing hypothesis,0.36301992636471814
0,8,things,0.36088571766821154
0,9,answer,0.35307973305278817
0,10,like,0.3512027403359977
1,1,charts,0.42558316359811227
1,2,digital,0.4184870108680379
1,3,printed,0.3917549210176084
1,4,3d printed,0.38819584425695486
1,5,physical,0.3803526954793868
1,6,chart,0.3695695861185493
1,7,3d graphs,0.36162912932440855
1,8,2d graphs,0.3508317876481613
1,9,screen,0.34985280354143045
1,10,perceptual,0.32731673729505933
2,1,bars,0.8105472064613447
2,2,bar graph,0.7155966152753517
2,3,tall,0.6434530822884088
2,4,estimation,0.6231489393652171
2,5,closer,0.6231489393652171
2,6,heights bar,0.5930377484254914
2,7,angles,0.5930377484254914
2,8,size difference,0.566458265500055
2,9,know,0.566458265500055
2,10,apart,0.566458265500055
3,1,statistics,0.8098893723903445
3,2,taking,0.7695667191353935
3,3,class,0.7502807407276976
3,4,stats,0.6905328477163949
3,5,numerical,0.6848393532613807
3,6,currently,0.67118116495184
3,7,statistic,0.67118116495184
3,8,218,0.6612719034864182
3,9,think hypothesis,0.6410993558914959
3,10,unl students,0.6410993558914959
4,1,null hypothesis,0.7978743600984837
4,2,alternative,0.7391007872865752
4,3,alternative hypothesis,0.737298137710883
4,4,graphs 3d,0.6804295405390839
4,5,difference accuracy,0.6646114323264461
4,6,2d models,0.5770424690897825
4,7,experience,0.558833911095963
4,8,significant,0.5426529621400221
4,9,printed graphs,0.5280929613574714
4,10,compared 3d,0.4915320918072554
5,1,blocks,1.2613917916564648
5,2,taller,0.8936538143442383
5,3,believe,0.7794042975885175
5,4,think experimenter,0.7444720133034665
5,5,estimate proportions,0.5820567317924938
5,6,actually,0.5820567317924938
5,7,skills,0.5820567317924938
5,8,degree,0.5820567317924938
5,9,shapes,0.5641115584808215
5,10,able estimate,0.5511220641107786
