topic,rank,word,score
-1,1,long,0.5187766596302057
-1,2,end,0.48004281907754687
-1,3,large,0.4640079504293643
-1,4,thing say,0.4615941522631169
-1,5,assigned,0.4433307844462077
-1,6,participating,0.429363350227211
-1,7,multiple,0.4276861305151812
-1,8,doesn,0.4140025350407065
-1,9,study pretty,0.3948027900130738
-1,10,purpose experiment,0.3948027900130738
0,1,bar,0.4491274245307873
0,2,ve,0.40057256977609096
0,3,color,0.399477150708478
0,4,types,0.384082597123486
0,5,person,0.37959034817075793
0,6,easier,0.3758262213239023
0,7,didn,0.3713536114253697
0,8,confusing,0.35833624208987497
0,9,affect,0.35545897558893463
0,10,physical,0.35230948580683186
1,1,confused,0.5318685411611549
1,2,abstract,0.45778801076637765
1,3,given,0.4332647632047829
1,4,explain,0.41776437186748905
1,5,overall,0.4054940187847566
1,6,helpful,0.39789838039385594
1,7,experiment think,0.3944528647107143
1,8,experiment better,0.3939698096334634
1,9,designed,0.3875965485413357
1,10,instructions,0.3862715052287924
2,1,statistics,0.6267394100792036
2,2,department,0.5688448269744031
2,3,general,0.5451503776375607
2,4,outside,0.5451503776375607
2,5,larger sample,0.5172534376818485
2,6,stats students,0.4859977656386437
2,7,things,0.4358501598890452
2,8,differently,0.4346896163524075
2,9,world,0.43242833398026853
2,10,applied,0.43242833398026853
3,1,project,0.6497664718326003
3,2,don critiques,0.64276588798015
3,3,make better,0.549152898249259
3,4,critiques think,0.4692893958168684
3,5,don think,0.4692893958168684
3,6,actually,0.45272869114975034
3,7,think critique,0.45272869114975034
3,8,provided,0.4382438719625598
3,9,specific,0.4382438719625598
3,10,easy,0.4253720058881832
4,1,control,0.7474795229702151
4,2,findings,0.7211281112477252
4,3,additionally,0.6717290236305248
4,4,validity,0.6709064104758723
4,5,diversity,0.6303660694942902
4,6,potential,0.6303660694942902
4,7,generalize,0.6220276035351547
4,8,conclusions,0.6220276035351547
4,9,small sample,0.6220276035351547
4,10,generalizability,0.600076936145771
