document_index,document,topic,probability
0,How do you know whether or not your response is accurate if you’re just making an estimate. Giving the answer after each one and then seeing if you were closer looking at it in 2d or 3d,topic_0,1.0
1,I think this study has a big possibility for confounding variables because it's only being sent to STAT218 students. A smarter idea could have been sending this study out to all students on campus.,topic_0,9.12036260987759e-309
2,Maybe to explain the experiment better to the participants I walked in completely blind but I feel like it could have had a more thorough procedure.,topic_0,1.3117228590157894e-308
3,I don't really have any critiques of the study; I thought it was pretty interesting and it was made easy to understand. One thing that could have made it better was to actually see the results from our class that did the study which I thought would have been interesting to see.,topic_0,0.04177208691231442
4,"The only critique I have is that as a participant, it was difficult to discern what the different heights were because there were no markings. If there were markings at like 25,50, and 75, it would have been much easier to estimate the difference. Also, for repetition’s sake, I would make each graph appear different, like instead of just one color, make the different bars colored differently, that way, it’s easy to keep the participants attention.",topic_0,0.688024756104098
5,A critique that I think might have made this study better would be to possibly do a second round of the same students with different 3D graphics. This might give a larger range of answers. It also might show an increase in students' ability to answer the questions quicker.,topic_0,1.0
6,"I think having a very clear introduction into a little bit of what the research is, would help. I felt a little confused when I was filling out the survey/experiment.",topic_0,0.11000534086921268
7,Something that would have made the study better is having all of the graphs online instead of some online and some in person because at least for me it seemed like it was the same consistancy if I would have done it all online or not. Also it would definitely  save you some time without having to get a kit. I know some other people are visual learners and do better with hands-on experiments but personally I think this experiment could have been all online.,topic_0,1.0
8,I think that the study is very interesting and was not very clearly explained at first. I think that the study would have been better if all the students did the experiment on the same day so that the results are the most accurate as possible.,topic_0,0.1347365774770012
9,"I don't necessarily have critiques on the study, I feel like it was well-designed and well-thought-out. I do feel like maybe open the experiment to other groups as well since the stats department isn't the only ones using Microsoft Excel.",topic_0,0.04370927302168346
10,I don't have any critiques. I don't have any suggestions on how to make it better. It was pretty well planned out.,topic_0,0.05906146563336585
11,"I think maybe knowing why we had to do it before we did it. I heard a lot of people just going through it as quick as they could because they had no idea why we even had to do it. If we knew that we were a part of an experimental design, we probably would put more care and effort into it.",topic_0,0.1206187744837469
12,I don't have any suggestions other than I didn't really know why or the application of the study until now.,topic_0,0.08507433762316659
13,I believe that there should be an experimenter present to make sure that subjects follow the instructions closely. I for example used my finger to measure the ratio and just realized that that should not have happened after reading the abstract.,topic_0,1.2719743206747446e-308
14,I do not have any critiques. I don't think I am know ledged enough to contribute any significant criticism.,topic_0,0.05842220201056428
15,"I would like to see more confounding variables that ensure validity and reliability of the stimuli. Also, it's difficult to take such a large group of diverse students as some may have learning difficulties that aren't mentioned or addressed in the study.",topic_0,0.08685064621996791
16,I think talking about this study and conducting this in class would have helped. I think I would have tried to be more precise if I knew more about what this study was for and how we were expected to complete it. I think I also would have felt less rushed if it was in class and not on my own time. I took it right after class and before I had work. Therefore I think I felt a little rushed and maybe didn't think about the differences/ answers I put.,topic_0,0.1305489606164995
17,I found the in person experiment part of this study to be the easiest. Though it was quite repetitive. That may be part of the point but lots of the questions and graph answers were almost the same.,topic_0,0.879719617940855
