topic,rank,word,score
-1,1,numbers,0.3729348681654751
-1,2,shapes,0.35113765882425174
-1,3,online,0.32975439168422555
-1,4,slider,0.3269566499355438
-1,5,compared,0.30678069966798205
-1,6,pieces,0.30678069966798205
-1,7,instead,0.2984692208266956
-1,8,sure,0.29195151709058087
-1,9,shape,0.29195151709058087
-1,10,questions,0.2915263526085466
0,1,lack,0.35639187187494165
0,2,error involved,0.34136804019795874
0,3,lot,0.3388528906362303
0,4,include,0.32344872619551956
0,5,wrong,0.32209484142534633
0,6,answers,0.31932056230380906
0,7,times,0.3187775163539255
0,8,environmental,0.31696785531968846
0,9,survey,0.31696785531968846
0,10,error include,0.31643068187146284
1,1,3d,0.48623641453638355
1,2,charts,0.4303711421328854
1,3,3d printed,0.40660526391845914
1,4,models,0.40657815043369416
1,5,printed,0.3971026152060415
1,6,angle,0.3467541341655101
1,7,bar heights,0.32937812222773305
1,8,depth,0.32157693165622586
1,9,bit,0.3188894270178448
1,10,objects,0.3188894270178448
2,1,graph,0.5310375803195635
2,2,graphs,0.48095361190264246
2,3,answers,0.42180517407889884
2,4,understand,0.42098504870376546
2,5,experience,0.3727960382244073
2,6,looking,0.3727960382244073
2,7,participating,0.3570663215999587
2,8,values,0.3359118907309585
2,9,reading,0.3334389132849539
2,10,isn,0.3201097987381229
3,1,bar,0.5480417018343867
3,2,bigger,0.4975737368059337
3,3,know,0.4742259509065293
3,4,smaller,0.4549789018113096
3,5,heights,0.4536437994158154
3,6,bars,0.4535000863074803
3,7,incorrectly,0.3966449755895522
3,8,measurement,0.39271460631658467
3,9,actually,0.38720386750238084
3,10,visual perception,0.3854189592319147
4,1,statistics,0.8264885923177779
4,2,sampling,0.7837050932438807
4,3,218,0.7171996073242772
4,4,random sampling,0.6801058501202227
4,5,class,0.6639978120097972
4,6,stat 218,0.6304521165865182
4,7,stat,0.6083051651056407
4,8,stats,0.6083051651056407
4,9,population,0.6074192996954579
4,10,stats 218,0.5683778270928429
5,1,blocks,1.1004471744307487
5,2,id,0.5710007095749176
5,3,internet,0.5452015078391527
5,4,sets,0.5452015078391527
5,5,previous,0.5452015078391527
5,6,correct,0.5384618389454278
5,7,impact,0.5237242212772915
5,8,little,0.4749351876595724
5,9,better,0.4749351876595724
5,10,possibly,0.45037219611482454
6,1,human perception,1.1663538685023598
6,2,eyesight,1.0105926465997528
6,3,comparisons,0.8714046474295768
6,4,problems,0.8714046474295768
6,5,subjective,0.8714046474295768
6,6,impairments,0.8714046474295768
6,7,visual impairments,0.8714046474295768
6,8,ability,0.8590781037479356
6,9,bad,0.8247367296811814
6,10,perceptions,0.8247367296811814
7,1,color,0.7919673199730088
7,2,likely,0.6040995481025506
7,3,screen,0.5532753988752617
7,4,potentially,0.5523855634840436
7,5,brightness,0.5112031065782187
7,6,quality,0.4925269101817211
7,7,differently,0.4829178654303824
7,8,participate,0.4775383474385514
7,9,depth perception,0.4635805133525336
7,10,judge,0.45102092393855703
