topic,rank,word,score
-1,1,design,0.30140307017140555
-1,2,measures,0.2940922200306129
-1,3,repeated measures,0.2940922200306129
-1,4,computer,0.2787418641759336
-1,5,present,0.27694050200557285
-1,6,randomized,0.2722371062728751
-1,7,given,0.2718367065372037
-1,8,repeated,0.2661758895606772
-1,9,bias,0.26405938622337827
-1,10,strips,0.26291888051319096
0,1,control group,0.3065810932301997
0,2,control,0.29431074169341376
0,3,group,0.2854325474446645
0,4,students,0.27769992019663486
0,5,218,0.2608182534356316
0,6,stats,0.2581196815718191
0,7,think control,0.25275948621804156
0,8,class,0.24362642521444644
0,9,think,0.24297291961193349
0,10,use control,0.2417055076023585
1,1,graphs,0.4005063320526243
1,2,graph,0.3524931392076685
1,3,bar,0.3463662601211485
1,4,bars,0.2950096635750763
1,5,bar graphs,0.2794900678112862
1,6,order,0.2698906496031763
1,7,2d,0.2684401403729771
1,8,different,0.26412536258085517
1,9,graphs different,0.26186705568510027
1,10,think randomization,0.25953899044347317
2,1,students,0.3075138687283652
2,2,study,0.30135334103917555
2,3,experimental design,0.29521772109908184
2,4,element,0.2906127085539239
2,5,experimental,0.2775703827475925
2,6,statistics,0.2727872303905882
2,7,models,0.26548962645023744
2,8,participants,0.2562730006323915
2,9,design,0.2558717929219068
2,10,experiment,0.25554426022646876
3,1,questions,0.5721462777373573
3,2,kit,0.4279788475036905
3,3,kits,0.37382653391744686
3,4,pool,0.3608930729037516
3,5,randomization used,0.34960954381061304
3,6,randomized,0.347888923453929
3,7,questions randomized,0.3456331009439798
3,8,different kit,0.3456331009439798
3,9,questions data,0.3456331009439798
3,10,think kits,0.3456331009439798
4,1,blocks,0.5913203259590252
4,2,set blocks,0.43607186066264697
4,3,bag,0.409724043959753
4,4,block,0.37838020255485183
4,5,chose,0.34541228708777705
4,6,bags,0.31934947518653806
4,7,didn know,0.31767341952622524
4,8,group random,0.3003622595337814
4,9,certain,0.30004247679788254
4,10,good,0.30004247679788254
5,1,charts,0.41534709269931264
5,2,chart,0.387350468279828
5,3,2d,0.34096905053217663
5,4,bar,0.32821184307665247
5,5,differences,0.3232485432477232
5,6,3d,0.3201951859195088
5,7,printed,0.315756423666218
5,8,types,0.3153716026816272
5,9,ratio,0.3140325606688565
5,10,chart types,0.3040955844223116
6,1,bags,0.6573724198724606
6,2,bag,0.6348930256481342
6,3,pick,0.4659278052040578
6,4,bag different,0.46246396024773245
6,5,picked,0.42237093562263356
6,6,bag think,0.4152680415130386
6,7,numbered,0.4152680415130386
6,8,bag bag,0.4152680415130386
6,9,randomization bags,0.4152680415130386
6,10,random fact,0.4152680415130386
7,1,stats,0.552462709913035
7,2,courses,0.5327152811764827
7,3,random,0.5206693571417295
7,4,random sampling,0.4960192378907054
7,5,sampling,0.4898543578736127
7,6,218 class,0.4790377742629471
7,7,class,0.4687417506118531
7,8,played experiment,0.4587821818125107
7,9,element played,0.4587821818125107
7,10,group probably,0.4587821818125107
8,1,cows,0.5679619331938179
8,2,intervention,0.41953987183104546
8,3,confounding,0.39054938912963333
8,4,randomization helps,0.38316812428227975
8,5,variables,0.38254137852019665
8,6,confounding variables,0.3816035658719037
8,7,old,0.3788288984255995
8,8,years old,0.3788288984255995
8,9,years,0.36333218690615277
8,10,validity,0.3527333045019033
9,1,used different,0.6304557205859056
9,2,colors,0.6304557205859056
9,3,kind,0.6119511805352454
9,4,different sets,0.6119511805352454
9,5,patterns easy,0.5475672127453015
9,6,sme,0.5475672127453015
9,7,sme answer,0.5475672127453015
9,8,randomization type,0.5475672127453015
9,9,letter locations,0.5475672127453015
9,10,randomization colors,0.5475672127453015
