Topic,Count,Name,Representation,KeyBERT,MMR,POS,Representative_Docs
-1,61,-1_design_measures_repeated measures_computer,"['design', 'measures', 'repeated measures', 'computer', 'present', 'randomized', 'given', 'repeated', 'bias', 'strips']","['experimental design', 'experiment randomization', 'repeated measures', 'experiment order', 'experiment randomized', 'participants study', 'randomization definitely', 'design', 'bars graphs', 'experiment']","['repeated measures', 'randomized', 'bias', 'people', 'images', 'experimental design', 'experiment', 'randomization', 'data', 'randomly']","['design', 'measures', 'computer', 'present', 'randomized', 'bias', 'strips', 'people', 'images', 'experimental design']","[""I think the extra strips were in there to see if people are more likely to look at the collective of strips as a whole group or if they'll look at just the individual strip. The reason why I think that is because there were about 6 different strips on each side but only one had the shape on the strip and the researchers probably wanted to see if people will interpret data differently as a group of strips or an individual because the researchers\xa0 \xa0wanted to see what different ways that people's brains processed data."", 'Randomization: Randomizing the presentation order of models (A or B first) could control for order effects and prevent bias.\n\nControl Group: There might not be a clear control group, but the experiment could establish a baseline comparison by setting the height of one model to 100 for consistency.\n\nRepeated Measures: If each participant assessed multiple sets of shapes, this design could help identify trends in estimation accuracy across different types.', ""The elements of experimental design, I think were present in this experiment are randomization, repeated measures, and standardized instructions for all participants. I think randomization because trials were probably given at random to different people. On the charts I was given there were more letter groups then what I had to answer for so I'm assuming that other people got questions I didn't and vice versa. Repeated measures because people answered multiple questions for each chart type. Standardized instructions because everyone got the same clear instructions, that were used for each trial.""]"
0,144,0_control group_control_group_students,"['control group', 'control', 'group', 'students', '218', 'stats', 'think control', 'class', 'think', 'use control']","['experimental group', 'control group', 'controlled group', 'used experiment', 'randomization', 'group control', 'experiment', 'experiment did', 'experimental', 'stats students']","['control group', 'students', 'stats', 'think', 'use control', 'use', 'sample', 'group students', 'graphs', 'group used']","['control', 'group', 'students', 'stats', 'class', 'experiment', 'use', 'sample', 'people', 'model']","['Since the experiment was limited to only stat 218 students, it was a limited group of people. So the experiment was not a random group or control group as we were the only ones asked. The ""control group"" in my opinion would be the actual measured ratios and height comparisons.\xa0 However, I think random assignment was a part of the experiment as we were able to grab a test kit bag which were different and not assigned. As well, I believe taking the experiment online allowed for more randomization.', 'I would imagine the kits were randomly assigned to the individuals within sample populations.\xa0\n\nI think the control group would be the original data set collected from Cleveland and McGill, or possibly the data set created by statistic department faculty members.\n\nHaving a solid methodology and observing participants under controlled environments (like designing the 3D bar graphs and distributing kits randomly) are also clear aspects of any good experimental study, and this study possesses both fairly clearly.', ""I think randomization appeared in if a person would be looking at a digital chart or a 3-D chart - I think this help eliminate people getting in this flow or rhythm in reading the charts and gives the experimenters more accurate information.\n\nThe control group is present in the beginning test example and gave a good baseline to use as a comparison to the responders answers later on.\xa0\n\nI guess you could say random assignment was used in having us choose our own bag at random since we didn't know what was exactly in each bag.""]"
1,97,1_graphs_graph_bar_bars,"['graphs', 'graph', 'bar', 'bars', 'bar graphs', 'order', '2d', 'different', 'graphs different', 'think randomization']","['randomization used', 'used randomization', 'graphs randomization', 'graphs random', 'randomized control', 'randomization different', 'graphs used', 'think randomization', 'randomization', 'use randomization']","['graph', 'bar graphs', 'graphs different', 'think randomization', 'participants', '3d graphs', 'randomly assigned', 'randomization used', 'order graphs', 'types']","['graphs', 'graph', 'bar', 'bars', 'order', '2d', 'different', '3d', 'different graphs', 'participants']","['Researchers may have randomly assigned participants to different experimental conditions or presentation formats to prevent bias. A control group in which both bars are simply labeled as ""Bar A"" and ""Bar B"" without any indication of their heights might have been used as a control group in the experiment. This group would not have received any contextual information regarding the height of the bars. Researchers can determine the specific impact of the contextual information given by comparing the replies of participants in the experimental groups to those in the control group.', ""randomization was a big part. participants were randomly assigned graphs types and bar groupings to minimize bias. each participant views a set of graphs in random order to avoid affects. there wasn't a traditional control group but the use of the 2D graph served as a baseline for comparison against 3D versions. the design of the experiment helped isolate the effects of graph type and layout on judgement accuracy."", ""The experiments definitely used randomization the graphs and the order that they were placed, and they were also randomly assigned to each individual. This really cuts down on how biased the participants can be. They also used a lot of repeated measures meaning each individual looked at the three different types of g, that way everyone would act in their own controlled way. I don't think there was a traditional group but using 2-D graphs which we already know they are more accurate. They kind of served as a baseline compared to the graphs that were 3-D and 3-D printed the designs of the graph really helped make the result more reliable, and reduce outside influences.""]"
2,60,2_students_study_experimental design_element,"['students', 'study', 'experimental design', 'element', 'experimental', 'statistics', 'models', 'participants', 'design', 'experiment']","['experiment randomization', 'randomization used', 'randomization students', 'experimental design', 'group experiment', 'participants randomly', 'randomization', 'participant study', 'use experiment', 'controlled study']","['experimental design', 'participants', 'experiment', 'replication', 'students participated', 'different students', 'assignment', 'randomization used', 'statistics students', 'variables']","['students', 'study', 'experimental design', 'element', 'experimental', 'statistics', 'models', 'participants', 'design', 'experiment']","[""The randomization aspect could be seen in the random kit each participant used. The different kits could have different difficulties of models to assess, which when given out randomly, might show results related to the accuracy of that participant's responses. A possible control group present could be participants that have no prior experience with statistics. This would provide a benchmark to compare active statistics students with. The only evidence of this study being an experimental study is the assignment of the model kits. Besides there being different kits used by participants, there was no manipulation by the researchers as for what was done on the survey."", 'Randomization was present in the experiment. Each element of the experiment was randomly assigned to random students participating individually in the study. I believe it was done this way due to the design of the experiment and how it was ultimately planned and executed in the setting it was given in. It was set up in a survey type manner, rather than a controlled study type manner. It was most likely designed this way due to the limiting factors of it being done with college students who are typically busy and have tight schedules to adhere to which makes it difficult to perform a controlled study type of experiment.', ""The experiment involved convenience sampling from the Stat 218 classes and those who volunteer to participate in the experiment. The models being perceived were randomly presented, however, they were in assigned baggies/units that were presented to the respondent(s). The control method, I believe, was the use of identical or similar models for all respondents, helping to create a stable testing method and presenting respondents identical data models in multiple formats or presentations. All of this culminates into comparatively simple forms of data collection that can guarantee a degree of randomness without bias or skewing and control methods that aid the experiment's final interpretation.""]"
3,30,3_questions_kit_kits_pool,"['questions', 'kit', 'kits', 'pool', 'randomization used', 'randomized', 'questions randomized', 'different kit', 'questions data', 'think kits']","['randomization used', 'randomized designed', 'randomization questions', 'results randomization', 'likely randomized', 'randomisation', 'randomized didnt', 'questions randomized', 'think randomization', 'grouped randomization']","['randomization used', 'questions randomized', 'different kit', 'questions data', 'data kits', 'pool questions', 'used experiment', 'likely randomized', 'questions different', 'think randomization']","['questions', 'kit', 'kits', 'pool', 'random questions', 'different kit', 'selection', 'correct', 'participant', 'correct answers']","['i think this design was mainly randomization because students were instructed to just take a kit out of the box, meaning that a lot of people likely chose the same kit as it was on top. therefore, there may be a lot of data for one of the kits and not really any data for the other kits.', 'Randomization was present - the order in which the questions were shown is likely randomized, as was the amount of 2D vs. 3D visuals.\xa0\n\nThere was likely no control group present, since each participant would have had to answer all questions, meaning there was no way for the variables to not be manipulated.', 'I think that they randomized whether they designed the experiment so that they could test for the results that they wanted by framing the questions and data to see the responses that they are looking for. They also separated all of us so we had to take it on our own, which eliminated a chance for social implications to create a confounding variable, for example if a popular kid got a crazy answer and everyone wanted to be their friend so they also put that answer.']"
4,26,4_blocks_set blocks_bag_block,"['blocks', 'set blocks', 'bag', 'block', 'chose', 'bags', 'didn know', 'group random', 'certain', 'good']","['random blocks', 'randomization', 'groups random', 'chose randomization', 'think randomization', 'classes experimented', 'group random', 'blocks randomly', 'random sampling', 'random']","['set blocks', 'group random', 'groups', 'audience', 'classes experimented', 'chose randomization', 'based bag', 'pretty random', 'random blocks', 'kids different']","['blocks', 'bag', 'bags', 'good', 'certain', 'groups', 'set', 'audience', 'kids', 'different classes']","[""I guess overall they were pretty random because not everyone had the same blocks, and didn't know where the blocks were going. A bunch of different classes experimented, so there wasn't just one class studied. Lastly, possibly something like the kids are from different age groups."", ""I guess overall they were pretty random because not everyone had the same blocks, and didn't know where the blocks were going. A bunch of different classes experimented, so there wasn't just one class studied. Lastly, possibly something like the kids are from different age groups."", 'In this experiment, I think randomization was used by having students pick their bags of blocks at random, which then may have produced differing sets of blocks to be measured on the online version of the study. I am assuming because this was an experiment there was a a control group and an experimental group to draw potential correlation and causation. In this study, I think there was a set of blocks given to all of those in the experimental group and a differing set of blocks to those in the control group, and these groups were selected at random based on which bag they chose.']"
5,24,5_charts_chart_2d_bar,"['charts', 'chart', '2d', 'bar', 'differences', '3d', 'printed', 'types', 'ratio', 'chart types']","['2d charts', 'bar charts', 'chart types', 'charts randomly', '2d chart', 'printed charts', 'charts helps', 'charts', 'chart', 'order charts']","['chart', '3d', 'chart types', '2d charts', '3d printed', 'perception', 'bar charts', 'comparison', 'different groups', 'subjects design']","['charts', 'chart', 'bar', 'differences', '3d', 'types', 'ratio', 'perception', 'order', 'variables']","['The experiment included several good design elements. Each participant got a random mix of chart types and bar layouts, which helps avoid bias from always seeing things in the same order. The charts were also randomly assigned different ratio values, so no one could guess patterns. Everyone answered the same types of questions, making it easier to compare results. While there wasn’t a traditional control group, the 2D chart acted like a baseline to compare the 3D formats against.', 'The experiment included several good design elements. Each participant got a random mix of chart types and bar layouts, which helps avoid bias from always seeing things in the same order. The charts were also randomly assigned different ratio values, so no one could guess patterns. Everyone answered the same types of questions, making it easier to compare results. While there wasn’t a traditional control group, the 2D chart acted like a baseline to compare the 3D formats against.', 'The experiment included several strong elements of experimental design:\n\n\xa0\n\n* Randomization – Each participant received a random set of graphs with different ratios and chart types, which helps prevent bias and ensures more balanced results across all chart conditions.\n\n* Control elements – The 2D bar charts acted like a control group because they’re the standard, well-studied format. Comparing the 3D and printed charts against them helps show whether the new formats perform better or worse.\n\n* Consistent procedures – All participants followed the same process, used the same computer setup, and got the same instructions, which helps reduce variability.\n\n* Replication – The experiment was based on a well-known study (Cleveland and McGill), adding reliability and allowing for meaningful comparisons to past results.\n\nThese elements help make the study more fair, accurate, and easier to trust.']"
6,21,6_bags_bag_pick_bag different,"['bags', 'bag', 'pick', 'bag different', 'picked', 'bag think', 'numbered', 'bag bag', 'randomization bags', 'random fact']","['randomization bags', 'random bags', 'randomization used', 'bag random', 'picked randomization', 'figures randomization', 'think randomization', 'different bags', 'numbered bag', 'randomization sure']","['randomization bags', 'random fact', 'random bags', 'blocks bag', 'different bags', 'code', 'bag random', 'randomization used', 'given random', 'think randomization']","['bags', 'bag', 'numbered', 'random bags', 'different bags', 'code', 'sort', 'fact', 'random', 'blocks']","['I think randomization of the bags that we got was present because when e walked in we were able to just grab any bag on the table so it really was random when students picked.', 'We had to randomly choose a bag to use for the 3D printed models. This might be to ensure that the directions could be followed in relation to using the correct 3D block when asked. This could also prevent two friends who were taking it simultaneously to not share what they thought.', 'Randomization was used since the bags had a unique code. I did not look at the other bags to see if the specific shapes (circle or triangle) was on different heights of the blocks but this could also be a randomization used. I think there was also some sort of repetition throughout the experiment to compare if participants had similar responses.']"
7,21,7_stats_courses_random_random sampling,"['stats', 'courses', 'random', 'random sampling', 'sampling', '218 class', 'class', 'played experiment', 'element played', 'group probably']","['random sample', 'randomly sampled', 'random assignment', 'random sampling', 'survey randomization', 'randomization stats', 'random surveyed', 'random data', 'sampling statistics', 'sampling group']","['random sampling', 'played experiment', 'courses control', 'statistics courses', 'class package', 'sampling statistics', 'randomization stats', 'statistics', 'stats class', 'random assignment']","['stats', 'courses', 'random', 'random sampling', 'sampling', 'class', 'survey', 'aware', 'package', 'statistics']","['In the experiment there was random sampling because they were pulling from different courses to collect their data. I would also say there was random assignment because of the 21 different kits to choose from.', 'Random assignment was used, but not random sampling because we are all from statistics courses. A control group was also probably utilized, without us being aware.', 'Random assignment was used, but not random sampling because we are all from statistics courses. A control group was also probably utilized, without us being aware.']"
8,17,8_cows_intervention_confounding_randomization helps,"['cows', 'intervention', 'confounding', 'randomization helps', 'variables', 'confounding variables', 'old', 'years old', 'years', 'validity']","['experimental treatment', 'randomization helps', 'effects experimental', 'design experiment', 'experiments helps', 'observational study', 'use randomization', 'experiments', 'experiments comparing', 'randomization help']","['intervention', 'confounding variables', 'helps ensure', 'age', 'experiments', 'compare effects', 'older cows', 'study used', 'baseline group', 'randomization help']","['cows', 'intervention', 'variables', 'old', 'years', 'validity', 'elements', 'age', 'bias', 'baseline']","[""Generally, elements like randomization help ensure that the sample groups are representative and reduce bias, while control groups serve as a baseline to compare the effects of the experimental treatment. These elements are crucial for establishing causality and enhancing the validity of the experiment's results."", '1. Randomization\n\n*\n\nPresence in the Experiment: Randomization is a critical design element in experiments to minimize bias. In this experiment, randomization could be used to select cows for each group, ensuring that age groups, health status, breed, and other factors are randomly distributed across the experimental conditions. Randomization would help eliminate confounding variables that might otherwise skew the results.\n\n*\n\nWhy it is Important: Randomization helps ensure that the results are not influenced by hidden biases or confounding factors. For instance, it prevents the possibility that older cows are always in one area with different environmental conditions compared to younger cows, which could bias the results.\n\n2. Control Group\n\n*\n\nPresence in the Experiment: In your study, a control group might not be applicable in the traditional sense (since you are specifically testing the impact of age), but a ""control"" could refer to a baseline group of cows that are considered to have ""normal"" or ""ideal"" conditions for calving. For example, cows that are in a middle age range (e.g., 3-5 years old) might serve as a comparison group. Alternatively, cows receiving no intervention or standard intervention could serve as controls in experiments comparing different assistance types.\n\n*\n\nWhy it is Important: Having a comparison or baseline group allows you to measure the effects of age and other variables more accurately. For example, comparing cows under 3 years old (younger cows) to cows over 7 years old (older cows) can show if age directly influences the likelihood of needing intervention or experiencing difficulty.', ""Given the experiment's scientific nature, it likely incorporated elements of experimental design such as randomization and the use of a control group. Randomization helps minimize the effects of confounding variables by randomly assigning participants to different groups or conditions, increasing the study's internal validity. Additionally, the inclusion of a control group allows researchers to compare the effects of the experimental treatment or intervention against a baseline condition, enabling a more accurate assessment of its efficacy.""]"
