document_index,document,topic,probability
0,I think that’ll look a lot different to a person just in general compared to a person conducting the investigation. That’s because whoever is doing the scientific investigation will be researching facts and finding information about the topic and learning about it while the normal person will look at it one way and one way only because they wouldn’t know anything about it. The general person more and likely wouldn’t know anything about it either so they wouldn’t pay much attention towards it. And I also think the process for the person doing the investigation will be fact checking their information while a general person would find any kind of information and just believe it.,topic_0,3.856673164880414e-308
1,A researcher has to form a hypothesis and create the ramifications for an experiment. A researcher probably must ensure the experiment is carried out concisely and uniformly. They must ensure there aren't any outside variables affecting the outcomes. Also unlike a civilian they probably run the experiment a multitude of times to ensure the results are consistent.,topic_0,1.0
2,"The process of scientific investigation is just looking deeper into different experiments and variations. As a researcher, you kinda know what you're looking for in the experiment just based on scientific guesses. As a person in the general public, you do not notice the experiment but experience the result.",topic_0,2.2531676027728183e-308
3,I believe that it will consist of the person being researched doing the experiment more than once. To make sure that the results stay consistent. I believe that it will result in the results the need. The consumer i feel like its different i feel like researchers are not only interested in the results but also the process for which they got the results. Consumers are more just about the final product and what the result it and how they can benefit from the research.,topic_0,0.03185979834639284
4,I believe that scientific investigation is the. process of thoroughly checking your sources as well as making hypothesis to try and further understand the world we live in. the process is to make sure we are informed and have correct knowledge of our topic. I think science happens through repeated trial and error with the hope of getting the right answer.,topic_0,1.837209123486705e-308
5,"From the perspective of a researcher the process of scientific investigation is very meticulous and requires many steps to find the answer they are looking for. Researchers identify questions and create hypothesis to design and conduct experiments that collect data to give them an answer of what they are looking for. Researchers engage in experiments and investigation to expand their knowledge in the field they are interested in. From the viewpoint of someone who is a member of the general public, they view scientific investigation differently than a researcher. The perspective of someone who is just in the general public would see scientific investigation much more summarized and just look at the data rather than think of the scientific process that goes into collecting data. The general public wouldn't look at the process that the researcher takes and would get a much more summarized view of what the data looks like. Although both the researcher and general public get the final result of the investigation the researcher takes a much deeper dive into how the data is found compared to someone from the general public",topic_0,0.09170206551616694
6,"On the scientist's side, it starts with an idea. A scientist will first get an idea of something new or how to improve something. The scientist will perform experiments and equations, and through a lot of trial and error, science is founded. The general public's perspective focuses more on results than the process. The general public tends to forget the crucial parts of an experiment and only care about the results.",topic_0,0.035259088739595636
7,"Well I have taken stats before so I know that what researches look for is unusual results. We have null and alternative hypothesis to test these and can run a large number of tests and confidence intervals to determine if they hold true. There is a long process to determine what sort of statistics we have, which tests to run on them, and what we are looking for. I will say that I do know and will always remember what my AP stats teacher taught me: ""When P is low, reject the Ho""",topic_0,2.1597349705840123e-308
8,"From the prospective of a researcher, I think that the process of scientific investigation looks a lot like researching, collecting data, and finding a conclusion. To a researcher I think that this would be lots more work than someone in the general public or a consumer. A scientist would need to investigate, formulate a hypothesis, collect data, and then figure out conclusions based on what they found. Much more work to be done as a scientist than a consumer, but could be more fun too.",topic_0,1.7841479170698624e-308
9,"A researcher will be the one performing the investigation and wants to know the results of said investigation in order to make a conclusion and take that into account for their research. Someone in the general public who is a consumer of scientific results is not going to take the information they learn from the scientific investigation further - because it is most likely not something they are researching on. The researcher is going to be very tedious and careful with their investigation, while someone in the general public may not be because it is less important to them.",topic_0,0.07372521651421476
10,I think the process of scientific investigation looks like a series of specific steps taken by a researcher to ensure that their hypothesis is either right or wrong. I think the steps are very specific and lead to a keen conclusion. These steps are taken differently compared to who is performing the research. An example is a high school student performing this process vs an expert researcher performing the process.,topic_0,0.023335532327353897
11,"I think that the process of scientific investigation is the process of using scientific methods to explore the world around us. It also involves asking questions, making observations, and analyzing data to uncover new knowledge. It also deals with observational units along with variables.",topic_0,1.6573271398259627e-308
12,"When being a researcher, you have to look at more than one perspective. The general public will consume whatever results are provided, usually provided by the media like the news. The researcher is involved in experimenting and then the data collection, not just making people take a survey and looking at the mean, median, and range of it. Lastly, the general public might not even fully understand the results provided by the investigation, causing for there to be misunderstandings.",topic_0,0.09080760660046527
13,"From the perspective of a researcher, the process of scientific investigation involves 1. asking a research question 2. designing a studying to collect data 3. exploring that data 4. drawing inferences 5. formulating a conclusion 6. looking back and ahead to see what went well, and what could be changed next time for a better outcome. To ensure this process goes well, experts must partake in intense planning and collaborating with other experts. From the perspective of the general public, scientific investigations are simplified and summarized versions of the experiments. We experience science in our world everyday. Science can also happen from ""accidents"". Then, scientists can formulate scientific questions and a hypothesis to test. That, in turn, affects our world, because our world is always changing.",topic_0,2.2221589041359963e-308
14,"I think the difference between being the researcher and the consumer is that the consumer isn't fully cognoscente of their role in the research, but the researcher is. Researchers are designated to study and come up with a conclusion related to their topic of interest, and their statistics come from the consumers, which end up being their statistics. From the consumers side, they are either observed or asked questions regarding the researcher's investigation. Science will always take place, but its whether the researcher investigates something that determines if it's recorded science or not.",topic_0,1.349070778884626e-308
15,The process of scientific investigation for a researcher takes a lot of planning and testing of hypotheses. A researcher first has to make an observation which leads to a question needing to be answered. A hypothesis is then made using what the researcher knows to be true. The hypothesis is then tested using a certain population which can be the general public. The general public is not worried about the results of the investigation but contribute based on personal experience.,topic_0,3.338689392095026e-308
16,The perspective of a scientific researcher would be much more detailed and broad compared to a consumer of scientific results. When going through the process of scientific investigation a researcher will be able to understand the results much more clearly and be able to apply it more diversly. A consumer might only be interested in how he or she can apply for their own benefits.,topic_0,1.3996237637088553e-308
17,"From the perspective of a researcher, you are more keen to observe patterns and trends which would lead to a research question to prompt a scientific investigation. Researchers have to interpret data and communicate it in an articulate manner. The general public, a consumer of scientific results, is likely not as aware as the researchers about the context and statistic significance of a scientific result.",topic_0,0.19765620766027
18,"The process of scientific investigation is to objectively establish facts and evidence through experimentation. This involves making observations, forming a hypothesis, creating a prediction, conducting the experiment, and concluding by analyzing the results. All of this is to validate observations while minimizing researcher bias.",topic_0,1.384342795146347e-308
19,"From the perspective of a researcher, the process of scientific investigation looks very detailed and experimental based. I think researchers are always looking for explanations for questions/ hypotheses. This can be done with the scientific method, and by starting with identifying a question based on existing knowledge. Then, researchers will design experiments or studies to collect data about their questions. After conducting research, they will analyze the data to draw conclusions and hopefully find successful results. After this, they then publish their findings no matter the results. The results should be published even if it was not the data you were hoping for because then other researchers can analyze it and draw conclusions of their own. Conversely, from the perspective of someone in the general public who is a consumer of scientific results, it may seem like a way easier/ simplified version. The general public usually just gets summaries of results and does not see the intricacies of the research/ experimental process. As consumers, they may see the scientific investigation as a series of discoveries or breakthroughs without fully appreciating the extensive effort involved in generating those results.",topic_0,0.04878391516579029
20,"The first step is determining what is being researched. The researcher then gathers background information on the topic to better understand it. A hypothesis is created before the research/ test is conducted. The research/ test is conducted and the results are analyzed and shared if requested or needed. 

A consumer of scientific research results will first aim to understand what is being researched and why. Explore the results, and form their own opinions on the topic.",topic_0,0.029739994706185036
21,"The process of scientific investigation when comparing a scientific researcher to the general public will be very different. A Scientific researcher will follow the process of scientific investigation at each step and ensure that each step is performed properly. This includes identifying a research question, forming a hypothesis, gathering evidence, Analyzing the evidence, deciding whether the evidence supports the hypothesis, concluding, and communicating the results. The general public may follow these steps but would more than likely have errors within their research or even skip a step or not follow a step properly.",topic_0,4.096898062790886e-308
22,I think this process is basically a lot of data being taken from a survey or a project and then being used for a scientific investigation.In general public people may not even know a investigation is being taken or done to them its secretive and hidden.People walk by all day long and don't realize that they could be in that data that is being used for the investigation.,topic_0,0.050134645302220775
23,For the researcher there has to be a long list of ethical guidelines that make sure everyone in the studies is safe and that they understand what is going on. The consumers are just taking in that information and they don't really have to think about the ethics of the situation because they just assume that everything was done correctly.,topic_0,0.03723905056878696
