"id","question","coding"
"002572032e1ede1d079c37068207e4de","As.of.today.I.am.at.least.19.years.of.age",""
"002572032e1ede1d079c37068207e4de","How.did.the.information.you.gained.from.the.components.of.this.project.participation.post.study.reflection.extended.abstract.presentation.differ",""
"002572032e1ede1d079c37068207e4de","If.you.had.to.hear.about.this.study.using.only.the.extended.abstract.or.only.the.presentation.which.one.would.you.prefer.Which.one.would.be.better.for.determining.whether.the.experiment.was.well.designed",""
"002572032e1ede1d079c37068207e4de","In.this.class.you.ll.be.learning.about.the.process.of.scientific.investigation.What.do.you.think.that.process.looks.like.from.the.perspective.of.a.researcher.compared.to.what.it.looks.like.from.the.perspective.of.someone.in.the.general.public.who.is.a.consumer.of.scientific.results.Write.a.paragraph.at.least.3.5.sentences.about.how.you.think.science.happens",""
"002572032e1ede1d079c37068207e4de","My.instructor.may.share.my.reflection.responses.with.the.researchers.in.this.study",""
"002572032e1ede1d079c37068207e4de","Paste.the.response.code.you.received.after.participating.in.the.graphics.experiment.here",""
"002572032e1ede1d079c37068207e4de","What.components.of.the.experiment.are.clearer.now.than.they.were.as.a.participant.What.questions.do.you.still.have.for.the.experimenter.Write.3.5.sentences.reflecting.on.the.abstract",""
"002572032e1ede1d079c37068207e4de","What.components.were.emphasized.in.the.presentation.that.weren.t.emphasized.in.the.abstract.Why.do.you.think.that.is",""
"002572032e1ede1d079c37068207e4de","What.critiques.do.you.have.of.this.study.and.its.design.What.would.have.made.the.study.better",""
"002572032e1ede1d079c37068207e4de","What.do.you.think.the.purpose.of.the.experiment.was",""
"002572032e1ede1d079c37068207e4de","What.elements.of.experimental.design.such.as.randomization.or.the.use.of.a.control.group.do.you.think.were.present.in.the.experiment.Why",""
"002572032e1ede1d079c37068207e4de","What.hypotheses.might.the.experimenter.have.been.testing",""
"002572032e1ede1d079c37068207e4de","What.sources.of.error.are.involved.in.this.experiment",""
"002572032e1ede1d079c37068207e4de","What.variables.were.examined.For.each.variable.identify.whether.it.was.quantitative.or.categorical","Correct number - categorical"
"0183b5973089456b9acd9e3ee94cd359","As.of.today.I.am.at.least.19.years.of.age",""
"0183b5973089456b9acd9e3ee94cd359","How.did.the.information.you.gained.from.the.components.of.this.project.participation.post.study.reflection.extended.abstract.presentation.differ",""
"0183b5973089456b9acd9e3ee94cd359","If.you.had.to.hear.about.this.study.using.only.the.extended.abstract.or.only.the.presentation.which.one.would.you.prefer.Which.one.would.be.better.for.determining.whether.the.experiment.was.well.designed",""
"0183b5973089456b9acd9e3ee94cd359","In.this.class.you.ll.be.learning.about.the.process.of.scientific.investigation.What.do.you.think.that.process.looks.like.from.the.perspective.of.a.researcher.compared.to.what.it.looks.like.from.the.perspective.of.someone.in.the.general.public.who.is.a.consumer.of.scientific.results.Write.a.paragraph.at.least.3.5.sentences.about.how.you.think.science.happens",""
"0183b5973089456b9acd9e3ee94cd359","My.instructor.may.share.my.reflection.responses.with.the.researchers.in.this.study",""
"0183b5973089456b9acd9e3ee94cd359","Paste.the.response.code.you.received.after.participating.in.the.graphics.experiment.here",""
"0183b5973089456b9acd9e3ee94cd359","What.components.of.the.experiment.are.clearer.now.than.they.were.as.a.participant.What.questions.do.you.still.have.for.the.experimenter.Write.3.5.sentences.reflecting.on.the.abstract",""
"0183b5973089456b9acd9e3ee94cd359","What.components.were.emphasized.in.the.presentation.that.weren.t.emphasized.in.the.abstract.Why.do.you.think.that.is",""
"0183b5973089456b9acd9e3ee94cd359","What.critiques.do.you.have.of.this.study.and.its.design.What.would.have.made.the.study.better",""
"0183b5973089456b9acd9e3ee94cd359","What.do.you.think.the.purpose.of.the.experiment.was",""
