document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,Circle and Triangle graph. Quantitative,0.05364290860165016,0.06737540167681592,0.12125819064326895,0.048951118887022485,0.049884743876333355,0.08868374901254339,0.32150104336287294,0.05053127068847307,0.03891299953296314,0.05205404051678354
1,Model size- quantitative color- categorical,1.6448353635952305e-308,2.28639026540587e-308,1.407581369733067e-308,2.0281198981208896e-308,1.5654951120923977e-308,1.9312376776752236e-308,1.8998611907043944e-308,2.998478776663782e-308,1.807640870368221e-308,1.0
2,The height which was quantitative and the other variable was the shape on the model which is categorical.,0.04770736848072082,0.07326369749429865,0.030108164726531432,0.046851486091589366,0.03786229952398262,0.057868840802777564,0.049647935727492445,0.038537428901334006,0.031027734730318255,0.0398252848201496
3,"There were a few variables that were examined, one of them was being able to judge the size difference between the blocks which is quantitative. Another variable could possibly be genders which would be a categorical variable. Also, we are all college students which could be a categorical variable as well.",0.027890311816197437,0.5752070601972143,0.021858059312893134,0.029453032059204257,0.023892465949461428,0.03440367210796811,0.03732231188548139,0.026948104606577795,0.022377472419353624,0.03276982060146262
4,"One variable could’ve been gender (categorical)

another variable may be major (categorical)",0.07525378372662024,0.04308366660299269,0.03685722154121025,0.3288014606752087,0.043349777211973986,0.06926906721999786,0.044790851425041994,0.0649482555764434,0.04411666810536242,0.04510596509767465
5,"Each individual graph and what size they were, quantitative

The individual and their selection is a categorical observational unit",8.966966488937545e-308,1.6602666570407555e-308,1.6406514386831835e-308,2.5292864205260953e-308,1.0,2.2062062794917663e-308,1.8654789386006223e-308,1.8271401427309746e-308,3.58108321145375e-308,1.6445486760905815e-308
6,"Number of blocks in a bag: quantitive

whether a student participated or not: caregorical",1.7608961237056404e-308,1.0,1.436333832971275e-308,1.847980249752623e-308,1.5385490073600147e-308,2.212158532240721e-308,2.5203529547866707e-308,1.7358145505824763e-308,1.4325247320531696e-308,2.1686080073535527e-308
7,"Size difference in the two bars, quantitative

Physical or online bar chart, categorical",1.4949923985992096e-308,1.4346812559901555e-308,1.0,1.6097029180845176e-308,1.4219509022424463e-308,4.840150163274941e-308,3.5001710120698527e-308,1.730947538402081e-308,1.047957458328699e-308,1.283382038357577e-308
8,"-assigned either an adjacent graph or separated comparison graph (categorical)

-estimating ratios (quantitative)",0.07486398456415441,0.02292573722057846,0.020405246267516285,0.03503998131441483,0.0851632542623295,0.026087194306356833,0.022725926026248098,0.02630282434498062,0.21436578206222065,0.026831531005356235
9,"1. The response of statistic students to the 3D kits - Categorial 

2. Effectiveness of 3D printed charts to their 2D rendered parts - Quantitative",0.07230741738515312,0.034000126319546776,0.02698916082735516,0.057854398638979655,0.05916218542468058,0.036223921544611105,0.0303602719949294,0.043618344943210194,0.25561914330228375,0.042805784633188626
