topic,rank,word,score
-1,1,dependent,0.3132033163392385
-1,2,groups,0.31146361478483664
-1,3,vs 3d,0.31146361478483664
-1,4,models,0.310211231463564
-1,5,height quantitative,0.30522926881822776
-1,6,people,0.30505012739772525
-1,7,independent,0.3010660985120058
-1,8,numerical value,0.2999879726229865
-1,9,3d categorical,0.2970729067984296
-1,10,letter,0.2899508030029437
0,1,variable type,0.4234661409472125
0,2,variable examined,0.3559768543396303
0,3,type graph,0.3559768543396303
0,4,variable categorical,0.3444282105007359
0,5,categorical variable,0.34048206457441693
0,6,bar graph,0.32959218890642716
0,7,graphs categorical,0.3261391319755569
0,8,graphs,0.3194943509443521
0,9,computer,0.318730215137374
0,10,quantitative variable,0.3158929507992298
1,1,shape,0.5390774985268216
1,2,person,0.454813368780067
1,3,categorical size,0.44008607405907185
1,4,picked,0.42701227371379175
1,5,taller shorter,0.40940322704811816
1,6,explanatory,0.4032936180085974
1,7,taller,0.3940735913506918
1,8,independent variable,0.3811257199869161
1,9,response variable,0.369401508615346
1,10,categorical dependent,0.369401508615346
2,1,quantitative bar,0.58421102878681
2,2,categorical smaller,0.5453462074391816
2,3,smaller bar,0.515073303880551
2,4,bar smaller,0.5150072827922408
2,5,bars quantitative,0.5004616249646958
2,6,size bar,0.48909261647557295
2,7,bar compared,0.48433996869818063
2,8,quantitative height,0.4727282752369812
2,9,quantitative size,0.4727282752369812
2,10,compared larger,0.45868476090576576
3,1,qualitative,0.45559590221281415
3,2,like,0.43605340612833826
3,3,models,0.42893198136139193
3,4,questions,0.397906309749708
3,5,charts,0.3973594168698447
3,6,able,0.387273424100025
3,7,class,0.3667597749901421
3,8,specific,0.35589822291057377
3,9,variables categorical,0.35163540880571226
3,10,got,0.3463878808667045
4,1,quantitative graph,0.5670525469487504
4,2,graph categorical,0.5507193438437432
4,3,reading,0.5229685402827816
4,4,graph quantitative,0.49172818485709663
4,5,graphs quantitative,0.4882609964999564
4,6,read,0.45336810597525334
4,7,larger categorical,0.428651434152049
4,8,bar graphs,0.42703018633418605
4,9,quantitative students,0.4050896894211232
4,10,bar graph,0.39563414701020266
5,1,columns,0.5456574770884483
5,2,say,0.5439738973866165
5,3,examined bar,0.457707795449585
5,4,numbers,0.4397686822619892
5,5,determining,0.422664464299423
5,6,experiment,0.4086412669235791
5,7,remember,0.40852271427043274
5,8,long,0.40852271427043274
5,9,letter,0.40852271427043274
5,10,think,0.39595571498117327
6,1,circle triangle,0.6742102471271478
6,2,triangle circle,0.6736789822702177
6,3,units,0.5771724110764435
6,4,taller,0.4938798135800151
6,5,circle bar,0.4867617682015818
6,6,triangle categorical,0.4867617682015818
6,7,100 units,0.4867617682015818
6,8,categorical circle,0.46882739768511034
6,9,quantitative categorical,0.426658409672551
6,10,100,0.4187386055349835
7,1,online,0.6152820381333503
7,2,correctly categorical,0.5826909047158886
7,3,number quantitative,0.538078532946932
7,4,guessed,0.5040766097575006
7,5,values quantitative,0.4993327094060969
7,6,correct answers,0.4993327094060969
7,7,percent,0.48968070611835857
7,8,proportion,0.47659541738220446
7,9,value quantitative,0.47576513143820637
7,10,scores,0.47576513143820637
8,1,ratio,0.4860259952085128
8,2,error,0.4512456397254076
8,3,chart,0.4219285599463072
8,4,3d digital,0.40335798402703127
8,5,digital 3d,0.40335798402703127
8,6,type categorical,0.400539523326174
8,7,chart type,0.3937472348040109
8,8,separated,0.3870468821537018
8,9,used,0.38496935335049776
8,10,adjacent,0.3693136496462042
9,1,color categorical,0.9738857342776293
9,2,gender categorical,0.8810583239459745
9,3,age quantitative,0.7519369699627252
9,4,gender,0.7273427920159082
9,5,quantitative gender,0.7051875609346564
9,6,size quantitative,0.6843035056448923
9,7,quantitative color,0.6761071774586677
9,8,shape categorical,0.6761071774586677
9,9,quantitative age,0.6511965180324165
9,10,categorical categorical,0.6511965180324165
